contract_id,annual_coupon,coupon_annuity,fixed_coupon_value,coupon_value,early_redemption_principal,surviving_notional,no_ki_maturity_redemption,terminal_ki_loss,base_value,total_value,additive_sum,component_identity_error,continuous_ki_survival_probability,maturity_survival_probability,fair_coupon,fair_coupon_residual,n_paths,steps_per_year,grid_steps,seed,runtime_seconds,initial_spot_ratio_1,initial_spot_ratio_2,initial_spot_ratio_3,redemption_probability_1,redemption_probability_2,redemption_probability_3,redemption_probability_4,redemption_probability_5,redemption_probability_6,redemption_probability_7,redemption_probability_8,probability_mass_error,scenario_id,replication,risk_free_rate,volatility_1,volatility_2,volatility_3,correlation_12,correlation_13,correlation_23,ki_barrier_ratio,sensitivity_dimension,sensitivity_level
RC-A,0.0875,89.65298180765757,0.0,7.844635908170036,57.38186643055495,37.58640691562451,1.033457691642993,-12.774076133475825,82.19419721270363,90.03883312087366,90.03883312087366,0.0,0.51513671875,0.408447265625,0.19860803766122498,0.0,4096,252,514,3743933553,0.48663120000855997,1.0,1.0,1.0,0.0,0.362060546875,0.085205078125,0.05419921875,0.04052734375,0.028076171875,0.021484375,0.018798828125,0.0,RC-A-vol-125,2,0.041397500000000004,0.22901500000000002,0.32747125,0.27473624999999996,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,volatility,125%
RC-A,0.0875,89.98901201542077,0.0,7.874038551349317,56.30304323540665,38.59739813571004,0.6964606182811475,-13.041498224772589,81.8589431463441,89.73298169769342,89.73298169769342,0.0,0.50732421875,0.41943359375,0.20159191047177177,0.0,4096,252,514,4003352508,0.4619200999732129,1.0,1.0,1.0,0.0,0.34375,0.093505859375,0.0576171875,0.03564453125,0.02783203125,0.022216796875,0.020263671875,0.0,RC-A-vol-125,3,0.041397500000000004,0.22901500000000002,0.32747125,0.27473624999999996,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,volatility,125%
RC-A,0.0875,109.94224487249701,0.0,9.619946426343487,45.99242861358533,48.28044737697374,5.234687872887334,-12.673626357569205,81.59924963298987,91.21919605933336,91.21919605933336,0.0,0.494873046875,0.524658203125,0.16736742449046751,0.0,4096,252,514,632174086,0.5108713999507017,1.0,1.0,1.0,0.0,0.24462890625,0.084228515625,0.054931640625,0.035400390625,0.03369140625,0.0224609375,0.022705078125,0.0,RC-A-corr-low,0,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.46550763511166093,0.41273009553667167,0.36690238894481636,0.75,correlation,low
RC-A,0.0875,109.35279373043778,0.0,9.568369451413306,44.21985083640204,49.96543274378297,5.257154344444791,-13.43158489837824,80.75369868180675,90.32206813322006,90.32206813322006,0.0,0.47900390625,0.54296875,0.17600191692986566,0.0,4096,252,514,1034107096,0.4948164999950677,1.0,1.0,1.0,0.0,0.234130859375,0.079833984375,0.053955078125,0.036376953125,0.033447265625,0.019287109375,0.018798828125,0.0,RC-A-corr-low,1,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.46550763511166093,0.41273009553667167,0.36690238894481636,0.75,correlation,low
RC-A,0.0875,110.22053764932019,0.0,9.644297044315516,43.97619680834245,50.19009745935753,5.57168494624918,-13.553682960485162,80.61261130721482,90.25690835153034,90.25690835153034,0.0,0.476806640625,0.54541015625,0.17589633571257357,0.0,4096,252,514,3743933553,0.4630279999691993,1.0,1.0,1.0,0.0,0.23681640625,0.072265625,0.0537109375,0.038330078125,0.030029296875,0.0234375,0.01904296875,0.0,RC-A-corr-low,2,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.46550763511166093,0.41273009553667167,0.36690238894481636,0.75,correlation,low
RC-A,0.0875,108.51043160357736,0.0,9.494662765313018,44.67099214918005,49.516103312633845,5.257154344444791,-13.544639832891319,80.64245562892258,90.1371183942356,90.1371183942356,0.0,0.48486328125,0.5380859375,0.17839339577780508,0.0,4096,252,514,4003352508,0.3916449000244029,1.0,1.0,1.0,0.0,0.2255859375,0.088134765625,0.05712890625,0.037109375,0.029296875,0.024658203125,0.020751953125,0.0,RC-A-corr-low,3,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.46550763511166093,0.41273009553667167,0.36690238894481636,0.75,correlation,low
RC-A,0.0875,93.26922370224415,0.0,8.161057073946363,64.22040414956376,31.11606310707707,3.1902389611588045,-8.195390855198735,87.14107640144209,95.30213347538846,95.30213347538846,0.0,0.65185546875,0.338134765625,0.13786888201845846,0.0,4096,252,514,632174086,0.38019479997456074,1.0,1.0,1.0,0.0,0.410888671875,0.096923828125,0.056640625,0.044189453125,0.028564453125,0.024658203125,0.021728515625,0.0,RC-A-corr-high,0,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9655076351116606,0.9127300955366716,0.8669023889448162,0.75,correlation,high
RC-A,0.0875,92.36932855492435,0.0,8.08231624855588,63.83140677817739,31.497993123553833,2.6959765868947647,-8.64408778306656,86.68531211866465,94.76762836722054,94.76762836722054,0.0,0.64111328125,0.34228515625,0.1441462018793198,0.0,4096,252,514,1034107096,0.37627680000150576,1.0,1.0,1.0,0.0,0.412353515625,0.0947265625,0.054443359375,0.044921875,0.031982421875,0.019287109375,0.0185546875,0.0,RC-A-corr-high,1,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9655076351116606,0.9127300955366716,0.8669023889448162,0.75,correlation,high
RC-A,0.0875,93.2726203167889,0.0,8.16135427771903,64.04091309274297,31.29579487953672,2.583644229107483,-8.553278042182448,86.78342993009724,94.94478420781627,94.94478420781627,0.0,0.640869140625,0.340087890625,0.14169828214340194,0.0,4096,252,514,3743933553,0.35614109999733046,1.0,1.0,1.0,0.0,0.41748046875,0.090087890625,0.0556640625,0.0439453125,0.0283203125,0.0244140625,0.018798828125,0.0,RC-A-corr-high,2,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9655076351116606,0.9127300955366716,0.8669023889448162,0.75,correlation,high
RC-A,0.0875,93.41029089247267,0.0,8.173400453091359,63.02367738044558,32.26185315650735,2.7184430584522206,-8.665480930130073,86.62004960682286,94.79345005991422,94.7934500599142,1.4210854715202004e-14,0.63330078125,0.3505859375,0.1432385047229881,0.0,4096,252,514,4003352508,0.42344230000162497,1.0,1.0,1.0,0.0,0.4033203125,0.09912109375,0.058837890625,0.034423828125,0.03076171875,0.02294921875,0.019287109375,0.0,RC-A-corr-high,3,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9655076351116606,0.9127300955366716,0.8669023889448162,0.75,correlation,high
