contract_id,annual_coupon,coupon_annuity,fixed_coupon_value,coupon_value,early_redemption_principal,surviving_notional,no_ki_maturity_redemption,terminal_ki_loss,base_value,total_value,additive_sum,component_identity_error,continuous_ki_survival_probability,maturity_survival_probability,fair_coupon,fair_coupon_residual,n_paths,steps_per_year,grid_steps,seed,runtime_seconds,initial_spot_ratio_1,initial_spot_ratio_2,initial_spot_ratio_3,redemption_probability_1,redemption_probability_2,redemption_probability_3,redemption_probability_4,redemption_probability_5,redemption_probability_6,probability_mass_error,method,replication,outer_method,endpoint_dimension,paired_bernoulli_total_value,conditional_minus_paired_bernoulli,inner_paths,bridge_substeps,bessel_terms,bridge_bank_seed,redemption_probability_7,redemption_probability_8
RC-L,0.06,106.107254276384,0.0,6.366435256583039,79.02214166762785,17.40396300077046,14.248102364129565,-1.7543272009084099,94.6717774674899,101.03821272407295,101.03821272407295,0.0,0.9654626966627404,0.1904296875,0.0502154406769527,0.0,2048,,,2635782847,1.2284878000500612,1.0,1.0,1.0,0.56298828125,0.09912109375,0.07470703125,0.0361328125,0.03662109375,0.01708984375,0.0,M3,0,rqmc,18.0,100.889416332327,0.14879639174594672,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,108.02672829839507,0.0,6.481603697903704,78.3900233782811,17.984095100796143,14.921474428712154,-1.6815724753542542,94.69254600372298,101.17414970162669,101.17414970162669,0.0,0.9664892167779253,0.19677734375,0.04913093342618496,0.0,2048,,,2312093288,1.2430337999830954,1.0,1.0,1.0,0.5595703125,0.0927734375,0.078125,0.03173828125,0.041015625,0.01708984375,0.0,M3,1,rqmc,18.0,101.09252258682596,0.0816271148007246,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,106.24175779647811,0.0,6.374505467788686,78.73230196564204,17.67171627770539,14.328516508087361,-1.8314113844477653,94.57260685889966,100.94711232668834,100.94711232668834,0.0,0.963419185001294,0.193359375,0.05108531008586396,0.0,2048,,,3627646061,1.1935621000011452,1.0,1.0,1.0,0.56298828125,0.09375,0.07958984375,0.02978515625,0.04052734375,0.01708984375,0.0,M3,2,rqmc,18.0,100.83591498896385,0.11119733772449081,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,108.13048859173466,0.0,6.487829315504079,78.1315669852435,18.251848377731076,15.325408136309708,-1.594034996571424,94.78938036640315,101.27720968190724,101.27720968190724,0.0,0.9679450177574263,0.19970703125,0.048188255703444045,0.0,2048,,,3858820242,1.1947588000330143,1.0,1.0,1.0,0.5634765625,0.09130859375,0.07470703125,0.03662109375,0.0341796875,0.0234375,0.0,M3,3,rqmc,18.0,101.54500286771906,-0.26779318581182565,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,109.04796440473983,0.0,6.54287786428439,78.22628406754552,18.16259728541943,15.590602843342083,-1.3780107796873462,95.0108705732776,101.55374843756199,101.553748437562,-1.4210854715202004e-14,0.9718536018807853,0.19873046875,0.04575169700742754,0.0,2048,,,649579008,1.2881669999915175,1.0,1.0,1.0,0.5625,0.09228515625,0.078125,0.03369140625,0.03466796875,0.02001953125,0.0,M3,4,rqmc,18.0,101.41127051646993,0.14247792109206614,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,106.57088002439079,0.0,6.394252801463447,78.4912076053421,17.8948440084845,14.474121967496327,-1.8154376854043242,94.57061392842228,100.96486672988573,100.96486672988573,0.0,0.9625711651924111,0.19580078125,0.0509462441366263,0.0,2048,,,2258289450,1.1918220999650657,1.0,1.0,1.0,0.5634765625,0.09130859375,0.07373046875,0.03662109375,0.0390625,0.0166015625,0.0,M3,5,rqmc,18.0,100.88058798421581,0.08427874566991989,256.0,16.0,12.0,2246738685.0,,
RC-A,0.0875,96.54825407633149,0.0,8.447972231679005,58.52046013642152,36.44061686619423,2.606110700664939,-10.440295635798073,84.52078136681769,92.96875359849669,92.96875359849668,1.4210854715202004e-14,0.58544921875,0.39599609375,0.1603262408136803,0.0,2048,252.0,514.0,2550590510,0.2096015999559313,1.0,1.0,1.0,0.0,0.33642578125,0.10546875,0.05908203125,0.0439453125,0.03515625,0.0,M0,0,mc-direct,,,,,,,,0.02392578125,0.015625
RC-A,0.0875,95.61394715870199,0.0,8.366220376386424,61.07654915052201,34.05917088110386,3.0105071886991537,-9.300567119059169,85.83515291256671,94.20137328895314,94.20137328895314,0.0,0.6181640625,0.3701171875,0.14814624339189955,0.0,2048,252.0,514.0,1606470590,0.4197578000021167,1.0,1.0,1.0,0.0,0.37646484375,0.09619140625,0.060546875,0.03662109375,0.0341796875,0.0,M1,0,rqmc-direct,1542.0,,,,,,,0.02587890625,0.02001953125
RC-A,0.0875,95.19717962085646,0.0,8.32975321682494,60.03115064052467,35.092628572746854,3.414903676733368,-9.625411307205306,85.4983679060662,93.82812112289115,93.82812112289115,0.0,0.6123046875,0.38134765625,0.15233258119294824,0.0,2048,252.0,514.0,4093883706,0.21275990002322942,1.0,1.0,1.0,0.0,0.38037109375,0.0947265625,0.0576171875,0.0341796875,0.03271484375,0.0,M0,1,mc-direct,,,,,,,,0.01904296875,0.02490234375
RC-A,0.0875,96.9637031632517,0.0,8.484324026784522,59.653977941254254,35.40715917455124,3.0105071886991537,-9.62050813736436,85.44062897844114,93.92495300522566,93.92495300522566,0.0,0.60595703125,0.384765625,0.15015279477358823,0.0,2048,252.0,514.0,3021693584,0.4178304999950342,1.0,1.0,1.0,0.0,0.3662109375,0.09375,0.0556640625,0.04443359375,0.03271484375,0.0,M1,1,rqmc-direct,1542.0,,,,,,,0.0224609375,0.0166015625
