Method,N,Ticker,Metric,Mean_estimate,Analytic,Replication_SD,Mean_runtime_seconds,RMSE,Bias,Relative_RMSE,SE_of_replication_mean
MC,65536,NDX Index,price,3365.7816286126376,3367.4914742178444,21.128343256549584,0.17004547500255285,20.52876104913095,-1.7098456052067377,0.006096158284676606,5.282085814137396
MC,65536,NDX Index,vega,10723.673492501643,10732.284898910899,88.17067140630239,0.17004547500255285,85.804104858501,-8.611406409256233,0.007994952208844951,22.042667851575597
MC,65536,RTY Index,delta,0.5858451454351272,0.5854387475048874,0.0025673189310291313,0.17004547500255285,0.0025187974046104854,0.0004063979302397769,0.004302409800078116,0.0006418297327572828
MC,65536,RTY Index,gamma,0.0005889562780175309,0.0005906533709811822,1.4551921046873963e-05,0.17004547500255285,1.4191674682611445e-05,-1.6970929636512568e-06,0.024027078113575316,3.6379802617184906e-06
MC,65536,RTY Index,price,292.9244808956939,292.88192219894063,2.239361911618366,0.17004547500255285,2.168670480542386,0.04255869675324675,0.00740458975501162,0.5598404779045915
MC,65536,RTY Index,vega,1128.1848406748516,1128.2462808147527,11.703533746808022,0.17004547500255285,11.332064382463503,-0.06144013990115127,0.010043963428162295,2.9258834367020055
MC,65536,SPX Index,delta,0.5952855622592169,0.5951256241492728,0.0025974334618079024,0.17004547500255285,0.002520034622926726,0.00015993810994407998,0.004234458273459649,0.0006493583654519756
MC,65536,SPX Index,gamma,0.0002797278256583971,0.0002810396349131103,6.5479111848374e-06,0.17004547500255285,6.4742789637138404e-06,-1.3118092547131964e-06,0.023036889318887387,1.63697779620935e-06
MC,65536,SPX Index,price,644.6213145683504,644.2866661564472,4.254184786976069,0.17004547500255285,4.132668296478638,0.33464841190323114,0.006414331560099575,1.0635461967440172
MC,65536,SPX Index,vega,2830.8224211690317,2829.6360448038345,24.22652937378291,0.17004547500255285,23.487218205547222,1.1863763651972477,0.008300437877400407,6.056632343445727
RQMC,1024,NDX Index,delta,0.6018726580004342,0.6016489211760171,0.008233012582150262,0.007246631241287105,0.007974719326304197,0.00022373682441712006,0.013254772086545685,0.0020582531455375654
RQMC,1024,NDX Index,gamma,5.2470720973992324e-05,5.2107169399970926e-05,1.2605464093541814e-05,0.007246631241287105,1.2210601416277461e-05,3.6355157402139784e-07,0.23433630260261795,3.1513660233854535e-06
RQMC,1024,NDX Index,price,3365.9172083099197,3367.4914742178444,33.76340397041385,0.007246631241287105,32.729158182557605,-1.574265907924655,0.009719151015863965,8.440850992603462
RQMC,1024,NDX Index,vega,10723.848732265802,10732.284898910899,169.1515161625025,0.007246631241287105,163.99737685091986,-8.436166645096819,0.015280751340058272,42.287879040625626
RQMC,1024,RTY Index,delta,0.5881821718871894,0.5854387475048874,0.006986408357726483,0.007246631241287105,0.007299702748983157,0.0027434243823019067,0.012468772830794252,0.0017466020894316208
RQMC,1024,RTY Index,gamma,0.0006314003863916676,0.0005906533709811822,0.00012517693011812942,0.007246631241287105,0.00012786811216659516,4.0747015410485437e-05,0.21648587555537535,3.1294232529532354e-05
RQMC,1024,RTY Index,price,293.1151091980313,292.88192219894063,2.2908846190754613,0.007246631241287105,2.2303629734511006,0.23318699909066254,0.007615229225162358,0.5727211547688653
RQMC,1024,RTY Index,vega,1127.3861848112208,1128.2462808147527,13.705657140596312,0.007246631241287105,13.298288910134122,-0.8600960035319076,0.011786689782421339,3.426414285149078
RQMC,1024,SPX Index,delta,0.5958327084755373,0.5951256241492728,0.009514072176217832,0.007246631241287105,0.009239057827118419,0.0007070843262644289,0.015524550535570664,0.002378518044054458
RQMC,1024,SPX Index,gamma,0.00028015608645004926,0.0002810396349131103,5.7154264022249696e-05,0.007246631241287105,5.5346431098276693e-05,-8.835484630610171e-07,0.19693461071919016,1.4288566005562424e-05
RQMC,1024,SPX Index,price,642.5763324138753,644.2866661564472,4.74735953897879,0.007246631241287105,4.90449540638914,-1.7103337425718337,0.0076122876104938965,1.1868398847446975
RQMC,1024,SPX Index,vega,2816.475379287787,2829.6360448038345,37.79727680863441,0.007246631241287105,38.89148515535921,-13.16066551604763,0.01374434186572407,9.449319202158602
RQMC,4096,NDX Index,delta,0.6013522609510836,0.6016489211760171,0.004299692613601427,0.024048631257755915,0.004173715859375196,-0.0002966602249334649,0.00693712846890345,0.0010749231534003569
RQMC,4096,NDX Index,gamma,5.2495344462695995e-05,5.2107169399970926e-05,5.174377595844783e-06,0.024048631257755915,5.0250847669147104e-06,3.88175062725069e-07,0.09643749266713218,1.2935943989611958e-06
RQMC,4096,NDX Index,price,3365.6000153139753,3367.4914742178444,18.046750048872074,0.024048631257755915,17.57576399203145,-1.8914589038690792,0.0052192452829041575,4.5116875122180184
RQMC,4096,NDX Index,vega,10730.904476769289,10732.284898910899,106.91572093206398,0.024048631257755915,103.52990503381436,-1.3804221416103246,0.009646585606791007,26.728930233015994
RQMC,4096,RTY Index,delta,0.5872545974003992,0.5854387475048874,0.004883486181627716,0.024048631257755915,0.005065098301000127,0.0018158498955117564,0.008651798881757211,0.001220871545406929
RQMC,4096,RTY Index,gamma,0.0006144674117231916,0.0005906533709811822,6.657157195562861e-05,0.024048631257755915,6.871605956445193e-05,2.3814040742009416e-05,0.1163390627066127,1.6642892988907152e-05
RQMC,4096,RTY Index,price,292.3401190008452,292.88192219894063,1.0040518142220993,0.024048631257755915,1.1129524914642281,-0.5418031980954083,0.003800004053197428,0.25101295355552483
RQMC,4096,RTY Index,vega,1123.6476281048103,1128.2462808147527,5.782705489118888,0.024048631257755915,7.245502698031328,-4.598652709942371,0.006421915871771414,1.445676372279722
RQMC,4096,SPX Index,delta,0.5938357263462435,0.5951256241492728,0.006111381312986769,0.024048631257755915,0.006056278275305626,-0.0012898978030293495,0.01017647036113262,0.0015278453282466923
RQMC,4096,SPX Index,gamma,0.0002801300496286302,0.0002810396349131103,2.5515970547008228e-05,0.024048631257755915,2.472247057407081e-05,-9.09585284480062e-07,0.0879679144961682,6.378992636752057e-06
RQMC,4096,SPX Index,price,643.8784802189298,644.2866661564472,2.762441185248575,0.024048631257755915,2.7056892800490213,-0.40818593751737353,0.004199511525188106,0.6906102963121438
RQMC,4096,SPX Index,vega,2830.29550328416,2829.6360448038345,25.960398975843198,0.024048631257755915,25.144697369140733,0.6594584803256112,0.008886194892560432,6.4900997439607995
RQMC,16384,NDX Index,delta,0.6016044005661264,0.6016489211760171,0.0020248908977002445,0.0823730250049266,0.001961097597155731,-4.452060989068585e-05,0.003259538126192362,0.0005062227244250611
RQMC,16384,NDX Index,gamma,5.151410643801229e-05,5.2107169399970926e-05,1.6770854521973449e-06,0.0823730250049266,1.7287425531136447e-06,-5.930629619586373e-07,0.03317667363283428,4.192713630493362e-07
RQMC,16384,NDX Index,price,3367.246672508156,3367.4914742178444,6.543347708792569,0.0823730250049266,6.340296890749059,-0.2448017096885451,0.0018827952317894726,1.6358369271981423
RQMC,16384,NDX Index,vega,10731.467439495114,10732.284898910899,35.25219649041383,0.0823730250049266,34.14257990336665,-0.8174594157844695,0.003181296455038331,8.813049122603458
RQMC,16384,RTY Index,delta,0.5850010696714998,0.5854387475048874,0.0015578181007504283,0.0823730250049266,0.001570568143595022,-0.00043767783338766186,0.0026827198409546857,0.00038945452518760707
RQMC,16384,RTY Index,gamma,0.000597005725765999,0.0005906533709811822,2.484674271635885e-05,0.0823730250049266,2.4882282772071136e-05,6.35235478481681e-06,0.042126709157245916,6.211685679089712e-06
RQMC,16384,RTY Index,price,292.70734472668886,292.88192219894063,0.5221815359218787,0.0823730250049266,0.5348913469079022,-0.17457747225176945,0.0018263037298170155,0.13054538398046966
RQMC,16384,RTY Index,vega,1128.0564923555855,1128.2462808147527,3.018594974635607,0.0823730250049266,2.9288974980054165,-0.18978845916717546,0.002595973545678644,0.7546487436589018
RQMC,16384,SPX Index,delta,0.5942325441285913,0.5951256241492728,0.0018928005305731896,0.0823730250049266,0.0020387170981637187,-0.0008930800206815581,0.003425692014317226,0.0004732001326432974
RQMC,16384,SPX Index,gamma,0.0002844661771993027,0.0002810396349131103,1.4660489682614368e-05,0.0823730250049266,1.4602671927244324e-05,3.426542286192409e-06,0.051959475152887485,3.665122420653592e-06
RQMC,16384,SPX Index,price,643.9246743782871,644.2866661564472,1.1383329709501377,0.0823730250049266,1.1601087785895927,-0.36199177816001793,0.0018006096346993039,0.28458324273753444
