Method,N,Replication,Seed / scramble,Ticker,Metric,Estimate,Analytic,Runtime seconds,Error,Relative error
MC,1024,7,21260735,NDX Index,price,3628.644899793297,3367.4914742178444,0.0034918999881483614,261.15342557545273,0.0775513249476333
MC,1024,7,21260735,NDX Index,delta,0.6454924032910546,0.6016489211760171,0.0034918999881483614,0.043843482115037524,0.07287220266154316
MC,1024,7,21260735,NDX Index,vega,11607.61921358678,10732.284898910899,0.0034918999881483614,875.3343146758816,0.08156085334304809
MC,1024,7,21260735,NDX Index,gamma,5.469114176330883e-05,5.2107169399970926e-05,0.0034918999881483614,2.5839723633379043e-06,0.04958957458432478
MC,1024,7,21260735,RTY Index,price,312.99918061378634,292.88192219894063,0.0034918999881483614,20.117258414845708,0.06868726572062382
MC,1024,7,21260735,RTY Index,delta,0.6406987155184247,0.5854387475048874,0.0034918999881483614,0.055259968013537275,0.0943906911680388
MC,1024,7,21260735,RTY Index,vega,1194.2402959166775,1128.2462808147527,0.0034918999881483614,65.99401510192479,0.0584925616189648
MC,1024,7,21260735,RTY Index,gamma,0.0004991279563378447,0.0005906533709811822,0.0034918999881483614,-9.152541464333753e-05,-0.15495622160133826
MC,1024,8,21260736,SPX Index,price,650.4174012714715,644.2866661564472,0.0037216999917291105,6.130735115024322,0.0095155393353052
MC,1024,8,21260736,SPX Index,delta,0.5947761770691028,0.5951256241492728,0.0037216999917291105,-0.00034944708017004,-0.0005871820435720134
MC,1024,8,21260736,SPX Index,vega,2861.2389254021464,2829.6360448038345,0.0037216999917291105,31.602880598311913,0.011168531958852253
MC,1024,8,21260736,SPX Index,gamma,0.00022673294096963237,0.0002810396349131103,0.0037216999917291105,-5.430669394347791e-05,-0.1932350003239509
MC,1024,8,21260736,NDX Index,price,3360.9105198671973,3367.4914742178444,0.0037216999917291105,-6.580954350647062,-0.001954260137266004
MC,1024,8,21260736,NDX Index,delta,0.5929557065854247,0.6016489211760171,0.0037216999917291105,-0.008693214590592357,-0.014448982262945153
MC,1024,8,21260736,NDX Index,vega,10747.703786120332,10732.284898910899,0.0037216999917291105,15.418887209432796,0.0014366826220758907
MC,1024,8,21260736,NDX Index,gamma,5.212577067207936e-05,5.2107169399970926e-05,0.0037216999917291105,1.860127210843597e-08,0.0003569810512187666
MC,1024,8,21260736,RTY Index,price,286.43881449921014,292.88192219894063,0.0037216999917291105,-6.44310769973049,-0.021998994172655
MC,1024,8,21260736,RTY Index,delta,0.5806999955993313,0.5854387475048874,0.0037216999917291105,-0.004738751905556171,-0.008094359872407678
MC,1024,8,21260736,RTY Index,vega,1086.4977164561571,1128.2462808147527,0.0037216999917291105,-41.74856435859556,-0.03700305958770563
MC,1024,8,21260736,RTY Index,gamma,0.0008107670633625092,0.0005906533709811822,0.0037216999917291105,0.00022011369238132705,0.37266136654003745
MC,1024,9,21260737,SPX Index,price,733.3681484712007,644.2866661564472,0.003182699962053448,89.08148231475354,0.13826373723699348
MC,1024,9,21260737,SPX Index,delta,0.6334841232337586,0.5951256241492728,0.003182699962053448,0.03835849908448574,0.06445445722374818
MC,1024,9,21260737,SPX Index,vega,3329.8145940497184,2829.6360448038345,0.003182699962053448,500.1785492458839,0.17676426979518456
MC,1024,9,21260737,SPX Index,gamma,0.00028401116921641787,0.0002810396349131103,0.003182699962053448,2.971534303307594e-06,0.010573363804099413
MC,1024,9,21260737,NDX Index,price,3655.212015683021,3367.4914742178444,0.003182699962053448,287.72054146517667,0.0854406146735693
MC,1024,9,21260737,NDX Index,delta,0.6416499626837594,0.6016489211760171,0.003182699962053448,0.04000104150774231,0.06648568641917284
MC,1024,9,21260737,NDX Index,vega,11800.349942441922,10732.284898910899,0.003182699962053448,1068.0650435310235,0.09951888657366985
MC,1024,9,21260737,NDX Index,gamma,5.506366797401022e-05,5.2107169399970926e-05,0.003182699962053448,2.956498574039296e-06,0.05673880596632343
MC,1024,9,21260737,RTY Index,price,339.8890165042978,292.88192219894063,0.003182699962053448,47.00709430535716,0.16049844917853104
MC,1024,9,21260737,RTY Index,delta,0.6288602672560714,0.5854387475048874,0.003182699962053448,0.04342151975118391,0.07416919350870504
MC,1024,9,21260737,RTY Index,vega,1354.3929703417357,1128.2462808147527,0.003182699962053448,226.14668952698298,0.200440890763383
MC,1024,9,21260737,RTY Index,gamma,0.0007077051574255676,0.0005906533709811822,0.003182699962053448,0.00011705178644438538,0.19817339948461002
MC,1024,10,21260738,SPX Index,price,587.9546137263387,644.2866661564472,0.0035040000220760703,-56.33205243010843,-0.08743321162637527
MC,1024,10,21260738,SPX Index,delta,0.5701342863417972,0.5951256241492728,0.0035040000220760703,-0.024991337807475644,-0.04199338222614856
MC,1024,10,21260738,SPX Index,vega,2526.6099679206504,2829.6360448038345,0.0035040000220760703,-303.02607688318403,-0.10709012469629868
MC,1024,10,21260738,SPX Index,gamma,0.0002665955265557095,0.0002810396349131103,0.0035040000220760703,-1.4444108357400756e-05,-0.05139527156682536
MC,1024,10,21260738,NDX Index,price,2922.753131324352,3367.4914742178444,0.0035040000220760703,-444.73834289349224,-0.13206814220570226
MC,1024,10,21260738,NDX Index,delta,0.5549513282026687,0.6016489211760171,0.0035040000220760703,-0.04669759297334841,-0.07761601713183604
MC,1024,10,21260738,NDX Index,vega,8973.264625965627,10732.284898910899,0.0035040000220760703,-1759.0202729452722,-0.16389988613922984
MC,1024,10,21260738,NDX Index,gamma,5.7428898680081584e-05,5.2107169399970926e-05,0.0035040000220760703,5.321729280110658e-06,0.10213046191900087
MC,1024,10,21260738,RTY Index,price,290.9883402817449,292.88192219894063,0.0035040000220760703,-1.8935819171957178,-0.0064653424252982695
MC,1024,10,21260738,RTY Index,delta,0.5659197408138712,0.5854387475048874,0.0035040000220760703,-0.01951900669101625,-0.033340817932201006
MC,1024,10,21260738,RTY Index,vega,1141.1292556382052,1128.2462808147527,0.0035040000220760703,12.882974823452514,0.011418583905412205
MC,1024,10,21260738,RTY Index,gamma,0.0004046028301960434,0.0005906533709811822,0.0035040000220760703,-0.00018605054078513878,-0.3149910758590527
MC,1024,11,21260739,SPX Index,price,658.1279592447463,644.2866661564472,0.0037862000172026455,13.841293088299153,0.02148312826473764
MC,1024,11,21260739,SPX Index,delta,0.5993834604678332,0.5951256241492728,0.0037862000172026455,0.00425783631856036,0.00715451687136964
MC,1024,11,21260739,SPX Index,vega,2892.7028624890127,2829.6360448038345,0.0037862000172026455,63.066817685178194,0.02228796095561128
MC,1024,11,21260739,SPX Index,gamma,0.00022316873824391542,0.0002810396349131103,0.0037862000172026455,-5.7870896669194854e-05,-0.2059172069700665
MC,1024,11,21260739,NDX Index,price,3519.6341619506634,3367.4914742178444,0.0037862000172026455,152.142687732819,0.04517982863435658
MC,1024,11,21260739,NDX Index,delta,0.6086801688285532,0.6016489211760171,0.0037862000172026455,0.0070312476525361545,0.011686628871190327
MC,1024,11,21260739,NDX Index,vega,11345.890728537957,10732.284898910899,0.0037862000172026455,613.6058296270585,0.057173829748903386
MC,1024,11,21260739,NDX Index,gamma,4.829863879948619e-05,5.2107169399970926e-05,0.0037862000172026455,-3.808530600484734e-06,-0.07309033755510157
MC,1024,11,21260739,RTY Index,price,293.3729305301193,292.88192219894063,0.0037862000172026455,0.49100833117864795,0.001676471963486806
MC,1024,11,21260739,RTY Index,delta,0.5976759323264512,0.5854387475048874,0.0037862000172026455,0.012237184821563774,0.02090258780054802
MC,1024,11,21260739,RTY Index,vega,1115.386639059149,1128.2462808147527,0.0037862000172026455,-12.859641755603661,-0.01139790307690373
MC,1024,11,21260739,RTY Index,gamma,0.0006000881251166573,0.0005906533709811822,0.0037862000172026455,9.4347541354751e-06,0.0159734196044666
MC,1024,12,21260740,SPX Index,price,610.2789642001027,644.2866661564472,0.0032756999717094004,-34.00770195634448,-0.052783494898661534
MC,1024,12,21260740,SPX Index,delta,0.576021092045482,0.5951256241492728,0.0032756999717094004,-0.019104532103790817,-0.03210167959260801
MC,1024,12,21260740,SPX Index,vega,2658.6936244621766,2829.6360448038345,0.0032756999717094004,-170.9424203416579,-0.060411451379256284
