estimator,replication,asset,asset_index,active_asset,bump,bump_label,greek,estimate_reported
AC-raw-MC,4,asset_3,3,True,0.0025,0.25% spot,Gamma,-7.810728047725205
AC-raw-MC,4,asset_3,3,True,0.005,0.50% spot,Delta,13.253829155983553
AC-raw-MC,4,asset_3,3,True,0.005,0.50% spot,Gamma,-7.127289343549207
AC-raw-MC,4,asset_3,3,True,0.01,1.00% spot,Delta,12.36291798803991
AC-raw-MC,4,asset_3,3,True,0.01,1.00% spot,Gamma,-5.052564705872199
AC-raw-MC,5,asset_1,1,False,0.001,0.10% spot,Delta,2.074724637676972
AC-raw-MC,5,asset_1,1,False,0.001,0.10% spot,Gamma,-12.204262574571343
AC-raw-MC,5,asset_1,1,False,0.0025,0.25% spot,Delta,2.050316112527838
AC-raw-MC,5,asset_1,1,False,0.0025,0.25% spot,Gamma,-7.029655242952915
AC-raw-MC,5,asset_1,1,False,0.005,0.50% spot,Delta,2.6605292412563633
AC-raw-MC,5,asset_1,1,False,0.005,0.50% spot,Gamma,-8.298898550708005
AC-raw-MC,5,asset_1,1,False,0.01,1.00% spot,Delta,4.161653537928537
AC-raw-MC,5,asset_1,1,False,0.01,1.00% spot,Gamma,-7.688685421979429
AC-raw-MC,5,asset_2,2,False,0.001,0.10% spot,Delta,7.810728047725135
AC-raw-MC,5,asset_2,2,False,0.001,0.10% spot,Gamma,-9.763410059657927
AC-raw-MC,5,asset_2,2,False,0.0025,0.25% spot,Delta,7.810728047725121
AC-raw-MC,5,asset_2,2,False,0.0025,0.25% spot,Gamma,-2.3432184143177888
AC-raw-MC,5,asset_2,2,False,0.005,0.50% spot,Delta,7.517825745935421
AC-raw-MC,5,asset_2,2,False,0.005,0.50% spot,Gamma,-3.3195594202832552
AC-raw-MC,5,asset_2,2,False,0.01,1.00% spot,Delta,7.371374595040576
AC-raw-MC,5,asset_2,2,False,0.01,1.00% spot,Gamma,-5.369875532811032
AC-raw-MC,5,asset_3,3,True,0.001,0.10% spot,Delta,15.25532821821308
AC-raw-MC,5,asset_3,3,True,0.001,0.10% spot,Gamma,-12.204262574572057
AC-raw-MC,5,asset_3,3,True,0.0025,0.25% spot,Delta,14.254578687098343
AC-raw-MC,5,asset_3,3,True,0.0025,0.25% spot,Gamma,-8.591800852497837
AC-raw-MC,5,asset_3,3,True,0.005,0.50% spot,Delta,13.790816709264652
AC-raw-MC,5,asset_3,3,True,0.005,0.50% spot,Gamma,-4.588802728038586
AC-raw-MC,5,asset_3,3,True,0.01,1.00% spot,Delta,12.863292753597303
AC-raw-MC,5,asset_3,3,True,0.01,1.00% spot,Gamma,-5.565143734004159
AC-raw-MC,6,asset_1,1,False,0.001,0.10% spot,Delta,1.0983836317113214
AC-raw-MC,6,asset_1,1,False,0.001,0.10% spot,Gamma,2.440852514913416
AC-raw-MC,6,asset_1,1,False,0.0025,0.25% spot,Delta,1.5621456095450128
AC-raw-MC,6,asset_1,1,False,0.0025,0.25% spot,Gamma,-5.467509633407872
AC-raw-MC,6,asset_1,1,False,0.005,0.50% spot,Delta,2.41644398976495
AC-raw-MC,6,asset_1,1,False,0.005,0.50% spot,Gamma,-7.322557544742351
AC-raw-MC,6,asset_1,1,False,0.01,1.00% spot,Delta,4.247083375950531
AC-raw-MC,6,asset_1,1,False,0.01,1.00% spot,Gamma,-7.908362148321701
AC-raw-MC,6,asset_2,2,False,0.001,0.10% spot,Delta,8.542983802199373
AC-raw-MC,6,asset_2,2,False,0.001,0.10% spot,Gamma,-24.408525149142687
AC-raw-MC,6,asset_2,2,False,0.0025,0.25% spot,Delta,7.859545098023403
AC-raw-MC,6,asset_2,2,False,0.0025,0.25% spot,Gamma,-12.887701278746588
AC-raw-MC,6,asset_2,2,False,0.005,0.50% spot,Delta,7.566642796233708
AC-raw-MC,6,asset_2,2,False,0.005,0.50% spot,Gamma,-8.982337254883928
AC-raw-MC,6,asset_2,2,False,0.01,1.00% spot,Delta,7.18831065642202
AC-raw-MC,6,asset_2,2,False,0.01,1.00% spot,Gamma,-5.833637510644709
AC-raw-MC,6,asset_3,3,True,0.001,0.10% spot,Delta,14.523072463738878
AC-raw-MC,6,asset_3,3,True,0.001,0.10% spot,Gamma,-12.204262574571345
AC-raw-MC,6,asset_3,3,True,0.0025,0.25% spot,Delta,14.010493435606916
AC-raw-MC,6,asset_3,3,True,0.0025,0.25% spot,Gamma,-11.325555669201547
AC-raw-MC,6,asset_3,3,True,0.005,0.50% spot,Delta,13.375871781729266
AC-raw-MC,6,asset_3,3,True,0.005,0.50% spot,Gamma,-5.662777834600745
AC-raw-MC,6,asset_3,3,True,0.01,1.00% spot,Delta,12.37512225061448
AC-raw-MC,6,asset_3,3,True,0.01,1.00% spot,Gamma,-5.613960784302434
AC-raw-MC,7,asset_1,1,False,0.001,0.10% spot,Delta,1.220426257457028
AC-raw-MC,7,asset_1,1,False,0.001,0.10% spot,Gamma,-9.763410059655795
AC-raw-MC,7,asset_1,1,False,0.0025,0.25% spot,Delta,1.6597797101415777
AC-raw-MC,7,asset_1,1,False,0.0025,0.25% spot,Gamma,-5.467509633407417
AC-raw-MC,7,asset_1,1,False,0.005,0.50% spot,Delta,2.416443989764957
AC-raw-MC,7,asset_1,1,False,0.005,0.50% spot,Gamma,-7.517825745935396
AC-raw-MC,7,asset_1,1,False,0.01,1.00% spot,Delta,4.100632225055687
AC-raw-MC,7,asset_1,1,False,0.01,1.00% spot,Gamma,-7.664276896830266
AC-raw-MC,7,asset_2,2,False,0.001,0.10% spot,Delta,7.932770673470806
AC-raw-MC,7,asset_2,2,False,0.001,0.10% spot,Gamma,-2.440852514913416
AC-raw-MC,7,asset_2,2,False,0.0025,0.25% spot,Delta,8.396532651304511
AC-raw-MC,7,asset_2,2,False,0.0025,0.25% spot,Gamma,-7.810728047724978
AC-raw-MC,7,asset_2,2,False,0.005,0.50% spot,Delta,7.566642796233712
AC-raw-MC,7,asset_2,2,False,0.005,0.50% spot,Gamma,-6.639118840566324
AC-raw-MC,7,asset_2,2,False,0.01,1.00% spot,Delta,6.8099785166103395
AC-raw-MC,7,asset_2,2,False,0.01,1.00% spot,Gamma,-4.88170502982819
AC-raw-MC,7,asset_3,3,True,0.001,0.10% spot,Delta,13.30264620628185
AC-raw-MC,7,asset_3,3,True,0.001,0.10% spot,Gamma,-36.61278772371048
AC-raw-MC,7,asset_3,3,True,0.0025,0.25% spot,Delta,13.815225234413788
AC-raw-MC,7,asset_3,3,True,0.0025,0.25% spot,Gamma,-6.639118840566196
AC-raw-MC,7,asset_3,3,True,0.005,0.50% spot,Delta,13.717591133817237
AC-raw-MC,7,asset_3,3,True,0.005,0.50% spot,Gamma,-2.5384866155106347
AC-raw-MC,7,asset_3,3,True,0.01,1.00% spot,Delta,12.46055208863647
AC-raw-MC,7,asset_3,3,True,0.01,1.00% spot,Gamma,-3.9297725490116937
AC-raw-MC,8,asset_1,1,False,0.001,0.10% spot,Delta,1.9526820119313013
AC-raw-MC,8,asset_1,1,False,0.001,0.10% spot,Gamma,0.0
AC-raw-MC,8,asset_1,1,False,0.0025,0.25% spot,Delta,2.099133162826135
AC-raw-MC,8,asset_1,1,False,0.0025,0.25% spot,Gamma,-7.420191645338833
AC-raw-MC,8,asset_1,1,False,0.005,0.50% spot,Delta,2.9778400681952064
AC-raw-MC,8,asset_1,1,False,0.005,0.50% spot,Gamma,-9.177605456077004
AC-raw-MC,8,asset_1,1,False,0.01,1.00% spot,Delta,4.210470588226823
AC-raw-MC,8,asset_1,1,False,0.01,1.00% spot,Gamma,-7.73750247227769
AC-raw-MC,8,asset_2,2,False,0.001,0.10% spot,Delta,7.0784722932508615
AC-raw-MC,8,asset_2,2,False,0.001,0.10% spot,Gamma,39.053640238625306
AC-raw-MC,8,asset_2,2,False,0.0025,0.25% spot,Delta,6.834387041759469
AC-raw-MC,8,asset_2,2,False,0.0025,0.25% spot,Gamma,0.0
AC-raw-MC,8,asset_2,2,False,0.005,0.50% spot,Delta,7.469008695637142
AC-raw-MC,8,asset_2,2,False,0.005,0.50% spot,Gamma,-5.076973231021327
AC-raw-MC,8,asset_2,2,False,0.01,1.00% spot,Delta,7.371374595040577
AC-raw-MC,8,asset_2,2,False,0.01,1.00% spot,Gamma,-5.076973231021327
AC-raw-MC,8,asset_3,3,True,0.001,0.10% spot,Delta,14.156944586501796
AC-raw-MC,8,asset_3,3,True,0.001,0.10% spot,Gamma,-43.93534526845429
AC-raw-MC,8,asset_3,3,True,0.0025,0.25% spot,Delta,15.42618789425711
AC-raw-MC,8,asset_3,3,True,0.0025,0.25% spot,Gamma,-9.372873657270246
AC-raw-MC,8,asset_3,3,True,0.005,0.50% spot,Delta,14.205761636800055
AC-raw-MC,8,asset_3,3,True,0.005,0.50% spot,Gamma,-7.224923444145729
AC-raw-MC,8,asset_3,3,True,0.01,1.00% spot,Delta,12.912109803895586
AC-raw-MC,8,asset_3,3,True,0.01,1.00% spot,Gamma,-5.369875532811014
AC-raw-MC,9,asset_1,1,False,0.001,0.10% spot,Delta,1.0983836317113214
AC-raw-MC,9,asset_1,1,False,0.001,0.10% spot,Gamma,-2.4408525149148375
AC-raw-MC,9,asset_1,1,False,0.0025,0.25% spot,Delta,1.3668774083518969
AC-raw-MC,9,asset_1,1,False,0.0025,0.25% spot,Gamma,-4.686436828635237
AC-raw-MC,9,asset_1,1,False,0.005,0.50% spot,Delta,2.2455843137209683
AC-raw-MC,9,asset_1,1,False,0.005,0.50% spot,Gamma,-7.224923444145758
AC-raw-MC,9,asset_1,1,False,0.01,1.00% spot,Delta,3.95418107416084
AC-raw-MC,9,asset_1,1,False,0.01,1.00% spot,Gamma,-7.469008695637151
AC-raw-MC,9,asset_2,2,False,0.001,0.10% spot,Delta,9.15319693092787
AC-raw-MC,9,asset_2,2,False,0.001,0.10% spot,Gamma,2.440852514911995
AC-raw-MC,9,asset_2,2,False,0.0025,0.25% spot,Delta,8.396532651304497
AC-raw-MC,9,asset_2,2,False,0.0025,0.25% spot,Gamma,-3.1242912190901957
AC-raw-MC,9,asset_2,2,False,0.005,0.50% spot,Delta,7.49341722078628
AC-raw-MC,9,asset_2,2,False,0.005,0.50% spot,Gamma,-4.002998124459153
AC-raw-MC,9,asset_2,2,False,0.01,1.00% spot,Delta,7.432395907913433
AC-raw-MC,9,asset_2,2,False,0.01,1.00% spot,Gamma,-5.247832907065319
AC-raw-MC,9,asset_3,3,True,0.001,0.10% spot,Delta,14.401029837993171
