scenario,method,replication,asset,asset_index,bump,bump_label,active_asset,runtime_seconds,pricing_seed,bridge_bank_seed,greek,estimate_raw,estimate_reported,reported_unit
near-KI,M0,1,asset_1,1,0.01,1.00% spot,True,0.13043919997289777,3032680152,242366888,Delta,120.72173159286693,0.923521246685432,PV per 1% relative spot move
near-KI,M0,1,asset_1,1,0.01,1.00% spot,True,0.13043919997289777,3032680152,242366888,Gamma,648.1421096860122,0.037930896614099645,PV per squared 1% relative spot move
near-KI,M0,1,asset_2,2,0.001,0.10% spot,False,0.12312530004419386,3032680152,242366888,Delta,3.8813786186366883,0.03881378618636688,PV per 1% relative spot move
near-KI,M0,1,asset_2,2,0.001,0.10% spot,False,0.12312530004419386,3032680152,242366888,Gamma,-95.57905632107122,-0.009557905632107122,PV per squared 1% relative spot move
near-KI,M0,1,asset_2,2,0.0025,0.25% spot,False,0.14938449999317527,3032680152,242366888,Delta,3.816123228003221,0.03816123228003221,PV per 1% relative spot move
near-KI,M0,1,asset_2,2,0.0025,0.25% spot,False,0.14938449999317527,3032680152,242366888,Gamma,-99.77169395142482,-0.009977169395142482,PV per squared 1% relative spot move
near-KI,M0,1,asset_2,2,0.005,0.50% spot,False,0.16358039999613538,3032680152,242366888,Delta,3.7834189420976827,0.03783418942097683,PV per 1% relative spot move
near-KI,M0,1,asset_2,2,0.005,0.50% spot,False,0.16358039999613538,3032680152,242366888,Gamma,-74.41434060865504,-0.007441434060865504,PV per squared 1% relative spot move
near-KI,M0,1,asset_2,2,0.01,1.00% spot,False,0.12916170002426952,3032680152,242366888,Delta,3.6993033817552146,0.036993033817552146,PV per 1% relative spot move
near-KI,M0,1,asset_2,2,0.01,1.00% spot,False,0.12916170002426952,3032680152,242366888,Gamma,-56.4472040042574,-0.00564472040042574,PV per squared 1% relative spot move
near-KI,M0,1,asset_3,3,0.001,0.10% spot,False,0.12629949999973178,3032680152,242366888,Delta,3.398439910846207,0.03398439910846207,PV per 1% relative spot move
near-KI,M0,1,asset_3,3,0.001,0.10% spot,False,0.12629949999973178,3032680152,242366888,Gamma,-214.43641664120605,-0.021443641664120605,PV per squared 1% relative spot move
near-KI,M0,1,asset_3,3,0.0025,0.25% spot,False,0.12870140001177788,3032680152,242366888,Delta,3.4362114025242363,0.03436211402524236,PV per 1% relative spot move
near-KI,M0,1,asset_3,3,0.0025,0.25% spot,False,0.12870140001177788,3032680152,242366888,Gamma,-82.95688102180065,-0.008295688102180065,PV per squared 1% relative spot move
near-KI,M0,1,asset_3,3,0.005,0.50% spot,False,0.17547250003553927,3032680152,242366888,Delta,3.4433239580849317,0.03443323958084932,PV per 1% relative spot move
near-KI,M0,1,asset_3,3,0.005,0.50% spot,False,0.17547250003553927,3032680152,242366888,Gamma,-80.6081129218228,-0.00806081129218228,PV per squared 1% relative spot move
near-KI,M0,1,asset_3,3,0.01,1.00% spot,False,0.14742009999463335,3032680152,242366888,Delta,3.4683832194559727,0.03468383219455973,PV per 1% relative spot move
near-KI,M0,1,asset_3,3,0.01,1.00% spot,False,0.14742009999463335,3032680152,242366888,Gamma,-59.58738961169274,-0.005958738961169274,PV per squared 1% relative spot move
near-KI,M0,1,parallel,0,0.001,0.10% parallel spot,False,0.1383983999839984,3032680152,242366888,Parallel Gamma,-45101.500074764546,-4.5101500074764544,PV per squared 1% parallel relative spot move
near-KI,M0,1,parallel,0,0.0025,0.25% parallel spot,False,0.14159780001500621,3032680152,242366888,Parallel Gamma,-11756.340542410726,-1.1756340542410726,PV per squared 1% parallel relative spot move
near-KI,M0,1,parallel,0,0.005,0.50% parallel spot,False,0.1265694000176154,3032680152,242366888,Parallel Gamma,-2285.3876774172477,-0.22853876774172477,PV per squared 1% parallel relative spot move
near-KI,M0,1,parallel,0,0.01,1.00% parallel spot,False,0.11851770005887374,3032680152,242366888,Parallel Gamma,870.3795625342536,0.08703795625342536,PV per squared 1% parallel relative spot move
near-KI,M0,1,asset_1,1,0.0025,0.25 vol points,True,0.11758200003532693,3032680152,242366888,Vega,-27.327627161582768,-0.2732762716158277,PV per 1 volatility point
near-KI,M0,1,asset_1,1,0.005,0.50 vol points,True,0.12247589998878539,3032680152,242366888,Vega,-28.32425419499316,-0.2832425419499316,PV per 1 volatility point
near-KI,M0,1,asset_1,1,0.01,1.00 vol points,True,0.12173450004775077,3032680152,242366888,Vega,-34.96110467632576,-0.3496110467632576,PV per 1 volatility point
near-KI,M0,1,asset_2,2,0.0025,0.25 vol points,False,0.1193166000302881,3032680152,242366888,Vega,-9.57161437623597,-0.0957161437623597,PV per 1 volatility point
near-KI,M0,1,asset_2,2,0.005,0.50 vol points,False,0.11305750004248694,3032680152,242366888,Vega,-9.326397500065298,-0.09326397500065298,PV per 1 volatility point
near-KI,M0,1,asset_2,2,0.01,1.00 vol points,False,0.11716409999644384,3032680152,242366888,Vega,-9.408368189590277,-0.09408368189590277,PV per 1 volatility point
near-KI,M0,1,asset_3,3,0.0025,0.25 vol points,False,0.11517840001033619,3032680152,242366888,Vega,-8.217150491319103,-0.08217150491319103,PV per 1 volatility point
near-KI,M0,1,asset_3,3,0.005,0.50 vol points,False,0.1361144000547938,3032680152,242366888,Vega,-8.271336874129531,-0.08271336874129531,PV per 1 volatility point
near-KI,M0,1,asset_3,3,0.01,1.00 vol points,False,0.11180459999013692,3032680152,242366888,Vega,-10.509708610285884,-0.10509708610285884,PV per 1 volatility point
near-KI,M0,1,parallel,0,0.0025,0.25 parallel vol points,False,0.1072458999697119,3032680152,242366888,Parallel Vega,-45.13693300906425,-0.4513693300906425,PV per 1 parallel volatility point
near-KI,M0,1,parallel,0,0.005,0.50 parallel vol points,False,0.10168420005356893,3032680152,242366888,Parallel Vega,-45.98816323561152,-0.45988163235611523,PV per 1 parallel volatility point
near-KI,M0,1,parallel,0,0.01,1.00 parallel vol points,False,0.13389979995554313,3032680152,242366888,Parallel Vega,-55.06680526394163,-0.5506680526394163,PV per 1 parallel volatility point
near-KI,M0,2,asset_1,1,0.001,0.10% spot,True,0.12796920002438128,1594336259,242366888,Delta,193.77035157843014,1.4823431895749906,PV per 1% relative spot move
near-KI,M0,2,asset_1,1,0.001,0.10% spot,True,0.12796920002438128,1594336259,242366888,Gamma,-30722.273717513013,-1.7979442636331555,PV per squared 1% relative spot move
near-KI,M0,2,asset_1,1,0.0025,0.25% spot,True,0.1178576999809593,1594336259,242366888,Delta,150.84322669078165,1.1539506841844795,PV per 1% relative spot move
near-KI,M0,2,asset_1,1,0.0025,0.25% spot,True,0.1178576999809593,1594336259,242366888,Gamma,-17793.41548716341,-1.0413151578475206,PV per squared 1% relative spot move
