scenario,method,replication,greek,asset,bump,direction,total_value,runtime_seconds,pricing_seed,bridge_bank_seed
near-KI,M0,1,ParallelSpot,parallel,0.001,minus,82.83330006798778,0.07235979998949915,3032680152,242366888
near-KI,M0,1,ParallelSpot,parallel,0.001,plus,83.03577365937934,0.06603859999449924,3032680152,242366888
near-KI,M0,1,ParallelSpot,parallel,0.0025,minus,82.71220324082572,0.06550600001355633,3032680152,242366888
near-KI,M0,1,ParallelSpot,parallel,0.0025,plus,83.1284948582261,0.07609180000144988,3032680152,242366888
near-KI,M0,1,ParallelSpot,parallel,0.005,minus,82.40604558832615,0.06817959999898449,3032680152,242366888
near-KI,M0,1,ParallelSpot,parallel,0.005,plus,83.4509949471803,0.05838980001863092,3032680152,242366888
near-KI,M0,1,ParallelSpot,parallel,0.01,minus,81.98390435314961,0.06156240002019331,3032680152,242366888
near-KI,M0,1,ParallelSpot,parallel,0.01,plus,84.0173088305457,0.056955300038680434,3032680152,242366888
near-KI,M0,1,Volatility,asset_1,0.0025,minus,82.98823939566073,0.055766900011803955,3032680152,242366888
near-KI,M0,1,Volatility,asset_1,0.0025,plus,82.85160125985281,0.06181510002352297,3032680152,242366888
near-KI,M0,1,Volatility,asset_1,0.005,minus,83.07440790964984,0.06277010001940653,3032680152,242366888
near-KI,M0,1,Volatility,asset_1,0.005,plus,82.7911653676999,0.05970579996937886,3032680152,242366888
near-KI,M0,1,Volatility,asset_1,0.01,minus,83.314903950054,0.06263330002548173,3032680152,242366888
near-KI,M0,1,Volatility,asset_1,0.01,plus,82.61568185652749,0.05910120002226904,3032680152,242366888
near-KI,M0,1,Volatility,asset_2,0.0025,minus,82.98018756741264,0.060893099987879395,3032680152,242366888
near-KI,M0,1,Volatility,asset_2,0.0025,plus,82.93232949553146,0.058423500042408705,3032680152,242366888
near-KI,M0,1,Volatility,asset_2,0.005,minus,83.00053028683516,0.055423100013285875,3032680152,242366888
near-KI,M0,1,Volatility,asset_2,0.005,plus,82.9072663118345,0.05763440002920106,3032680152,242366888
near-KI,M0,1,Volatility,asset_2,0.01,minus,83.03902336339846,0.05805839999811724,3032680152,242366888
near-KI,M0,1,Volatility,asset_2,0.01,plus,82.85085599960665,0.0591056999983266,3032680152,242366888
near-KI,M0,1,Volatility,asset_3,0.0025,minus,82.97668116096546,0.05786709999665618,3032680152,242366888
near-KI,M0,1,Volatility,asset_3,0.0025,plus,82.93559540850886,0.05731130001368001,3032680152,242366888
near-KI,M0,1,Volatility,asset_3,0.005,minus,82.99538783298087,0.06162910000421107,3032680152,242366888
near-KI,M0,1,Volatility,asset_3,0.005,plus,82.91267446423957,0.07448530005058274,3032680152,242366888
near-KI,M0,1,Volatility,asset_3,0.01,minus,83.04503633773105,0.05870439996942878,3032680152,242366888
near-KI,M0,1,Volatility,asset_3,0.01,plus,82.83484216552533,0.053100200020708144,3032680152,242366888
near-KI,M0,1,ParallelVolatility,parallel,0.0025,minus,83.03333483764425,0.04883799998788163,3032680152,242366888
near-KI,M0,1,ParallelVolatility,parallel,0.0025,plus,82.80765017259893,0.05840789998183027,3032680152,242366888
near-KI,M0,1,ParallelVolatility,parallel,0.005,minus,83.16429241898824,0.052682100038509816,3032680152,242366888
near-KI,M0,1,ParallelVolatility,parallel,0.005,plus,82.70441078663212,0.049002100015059114,3032680152,242366888
near-KI,M0,1,ParallelVolatility,parallel,0.01,minus,83.51699662039573,0.06665519997477531,3032680152,242366888
near-KI,M0,1,ParallelVolatility,parallel,0.01,plus,82.4156605151169,0.06724459998076782,3032680152,242366888
near-KI,M0,2,Base,base,0.0,base,83.7981121210752,0.06599790003383532,1594336259,242366888
near-KI,M0,2,Spot,asset_1,0.001,minus,83.64088808079954,0.06796450004912913,1594336259,242366888
near-KI,M0,2,Spot,asset_1,0.001,plus,83.93735671871454,0.06000469997525215,1594336259,242366888
near-KI,M0,2,Spot,asset_1,0.0025,minus,83.47708335134635,0.06040650000795722,1594336259,242366888
