estimator,replication,bump,direction,value,path_sd,call_probability,runtime_seconds,method,smooth,n_paths,seed,probability_clipping_rate,orthogonality_error,correlation_error,minimum_final_loading,asset
AC-raw-MC,2,0.001,plus,36.46633657281663,48.13084699611163,0.36474609375,0.0011859999503940344,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,2,0.0025,minus,33.31763682857745,47.13263664279131,0.333251953125,0.001499099947977811,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,2,0.0025,plus,37.44267757878227,48.394588569685986,0.37451171875,0.0017033999902196229,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,2,0.005,minus,31.120869565154763,46.29682356196728,0.311279296875,0.0008594000246375799,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,2,0.005,plus,39.053640238625576,48.78393645795901,0.390625,0.0006369000184349716,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,2,0.01,minus,25.799811082642023,43.75194890720726,0.258056640625,0.0007277000113390386,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,2,0.01,plus,40.664602898468885,49.117380233060864,0.40673828125,0.0012792999623343349,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,2,0.001,minus,34.0010755327534,47.36888264776419,0.340087890625,0.002038000035099685,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,2,0.001,plus,36.71042182430804,48.19877230393128,0.3671875,0.001313400047365576,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,2,0.0025,minus,32.194844671716965,46.72022193736884,0.322021484375,0.0012112000258639455,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,2,0.0025,plus,38.199341858405646,48.5845073183708,0.382080078125,0.001284700003452599,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,2,0.005,minus,28.19184654725784,44.99176844634972,0.281982421875,0.001665899995714426,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,2,0.005,plus,41.22599897689912,49.220659611529186,0.412353515625,0.0014111999771557748,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,2,0.01,minus,19.966173571997327,39.97382307743854,0.19970703125,0.0010683999862521887,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,2,0.01,plus,45.44867382770052,49.78814918811062,0.45458984375,0.0010793000110425055,mc,False,4096,1757888678,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,3,0.0,base,36.0269831201321,48.00521111092886,0.3603515625,0.0015239000204019248,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,
AC-raw-MC,3,0.001,minus,35.83171491893897,47.94797472724033,0.3583984375,0.0011286999797448516,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,3,0.001,plus,36.17343427102694,48.04757274214778,0.36181640625,0.0011426000273786485,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,3,0.0025,minus,35.34354441595615,47.801093407499785,0.353515625,0.0012371999910101295,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,3,0.0025,plus,36.17343427102694,48.04757274214778,0.36181640625,0.0012538000009953976,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,3,0.005,minus,33.586130605218,47.22676834359785,0.3359375,0.0011517999810166657,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,3,0.005,plus,36.19784279617608,48.054585980202944,0.362060546875,0.0010283999727107584,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,3,0.01,minus,27.825718670020727,44.81250278899,0.2783203125,0.000987500010523945,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,3,0.01,plus,36.19784279617608,48.054585980202944,0.362060546875,0.001034800021443516,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,3,0.001,minus,35.24591031535958,47.771064176776505,0.3525390625,0.0020044000120833516,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,3,0.001,plus,36.734830349457184,48.20549157900009,0.367431640625,0.0014984000008553267,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,3,0.0025,minus,33.952258482455115,47.35237422821691,0.339599609375,0.0010290999780409038,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,3,0.0025,plus,37.73557988057196,48.46959540616882,0.37744140625,0.0008669000235386193,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,3,0.005,minus,31.31613776634789,46.375943021725995,0.313232421875,0.0019329999922774732,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,3,0.005,plus,39.34654254041527,48.84868465523222,0.3935546875,0.0009899000287987292,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,3,0.01,minus,25.92185370838773,43.81921631068311,0.25927734375,0.0011198999709449708,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,3,0.01,plus,40.9086881499603,49.163098862229106,0.4091796875,0.0010390999959781766,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,3,0.001,minus,34.87978243812247,47.656504183986975,0.348876953125,0.0012093999539501965,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,3,0.001,plus,37.808805456019385,48.48805246004776,0.378173828125,0.0012140999897383153,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,3,0.0025,minus,32.78064927529634,46.939198707169375,0.327880859375,0.0009736000210978091,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,3,0.0025,plus,39.85912156854724,48.957570479514644,0.398681640625,0.0008700999896973372,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,3,0.005,minus,28.777651150837226,45.27095713666476,0.287841796875,0.0017426999984309077,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,3,0.005,plus,42.714919010996724,49.46267362467741,0.42724609375,0.0015711000305600464,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,3,0.01,minus,21.455093606094927,41.05012912018916,0.214599609375,0.0014948000316508114,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,3,0.01,plus,46.59587450971014,49.879479767172924,0.466064453125,0.0010618000524118543,mc,False,4096,1830074249,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,4,0.0,base,35.51440409200014,47.8531197743588,0.355224609375,0.0009218000341206789,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,
AC-raw-MC,4,0.001,minus,35.3679529411053,47.80856660617719,0.353759765625,0.001196000026538968,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,4,0.001,plus,35.709672293193265,47.91176303571321,0.357177734375,0.0011825999827124178,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,4,0.0025,minus,34.97741653871904,47.68735534709198,0.349853515625,0.0012637999607250094,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,4,0.0025,plus,35.75848934349155,47.9262882979828,0.357666015625,0.0010590999736450613,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,4,0.005,minus,33.70817323096371,47.26898923412369,0.337158203125,0.0007512000156566501,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,4,0.005,plus,35.904940494386395,47.96953954623908,0.359130859375,0.000874800025485456,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,4,0.01,minus,27.45959079278361,44.62951287860581,0.274658203125,0.0012137999874539673,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,4,0.01,plus,35.929349019535536,47.97670082310664,0.359375,0.0010593999759294093,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,4,0.001,minus,34.97741653871904,47.68735534709199,0.349853515625,0.0011402000091038644,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,4,0.001,plus,36.24665984647437,48.068572194653925,0.362548828125,0.0009489000076428056,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,4,0.0025,minus,33.87903290700769,47.327506366302906,0.3388671875,0.0008444000268355012,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,4,0.0025,plus,37.44267757878227,48.394588569685986,0.37451171875,0.0010507000260986388,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,4,0.005,minus,31.36495481664617,46.39557336135867,0.313720703125,0.0009262000094167888,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,4,0.005,plus,38.71192088653761,48.706061381465595,0.38720703125,0.0010133999749086797,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,4,0.01,minus,25.775402557492882,43.738442138108105,0.2578125,0.000896100013051182,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,4,0.01,plus,40.56696879787232,49.09874102091439,0.40576171875,0.0008135999669320881,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,4,0.001,minus,34.17193520879738,47.426221060796166,0.341796875,0.0007907000253908336,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,4,0.001,plus,36.85687297520289,48.23888861240036,0.36865234375,0.0012421999708749354,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,4,0.0025,minus,32.07280204597126,46.673546806046424,0.32080078125,0.001302399963606149,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
AC-raw-MC,4,0.0025,plus,38.4678356350462,48.648890096869984,0.384765625,0.0013386000064201653,mc,False,4096,609230738,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_3
