Method,Barrier ratio,Replication,Spot bump,Gamma
Conditioned MC,0.7,6,0.0025,0.019409474354461054
Conditioned MC,0.7,6,0.005,0.020554236544143123
Conditioned MC,0.7,6,0.01,0.02034514520815911
Direct MC,0.85,6,0.001,-0.10535886977045548
Direct MC,0.85,6,0.0025,0.0044731241563624735
Direct MC,0.85,6,0.005,0.034220135241248784
Direct MC,0.85,6,0.01,0.02640153855056493
Conditioned MC,0.85,6,0.001,0.018816480516470332
Conditioned MC,0.85,6,0.0025,0.017720665368443633
Conditioned MC,0.85,6,0.005,0.01787092012313707
Conditioned MC,0.85,6,0.01,0.017744857691933014
Direct MC,0.95,6,0.001,1.5483491297650251
Direct MC,0.95,6,0.0025,0.48213056390518716
Direct MC,0.95,6,0.005,0.10719845699296116
Direct MC,0.95,6,0.01,-0.004067334728679484
Conditioned MC,0.95,6,0.001,0.01521724499076171
Conditioned MC,0.95,6,0.0025,0.015035609197809663
Conditioned MC,0.95,6,0.005,0.015112658758877018
Conditioned MC,0.95,6,0.01,0.015190054242584239
Direct MC,0.7,7,0.001,0.01946514030635171
Direct MC,0.7,7,0.0025,0.022504334339458865
Direct MC,0.7,7,0.005,0.02307798930821292
Direct MC,0.7,7,0.01,0.022669760267364225
Conditioned MC,0.7,7,0.001,0.01975015192527962
Conditioned MC,0.7,7,0.0025,0.022753079858858882
Conditioned MC,0.7,7,0.005,0.023208250544108466
Conditioned MC,0.7,7,0.01,0.022743858891196567
Direct MC,0.85,7,0.001,-0.035627524199455245
Direct MC,0.85,7,0.0025,0.0004094429901329022
Direct MC,0.85,7,0.005,-0.01123137300767496
Direct MC,0.85,7,0.01,0.013195276378047183
Conditioned MC,0.85,7,0.001,0.01757460018279033
Conditioned MC,0.85,7,0.0025,0.019235924330899934
Conditioned MC,0.85,7,0.005,0.01972574976291952
Conditioned MC,0.85,7,0.01,0.019014067987611405
Direct MC,0.95,7,0.001,0.5739477468563513
Direct MC,0.95,7,0.0025,-0.20167848437367297
Direct MC,0.95,7,0.005,-0.08484289277673085
Direct MC,0.95,7,0.01,0.020399654420473645
Conditioned MC,0.95,7,0.001,0.014003925610506226
Conditioned MC,0.95,7,0.0025,0.014140142004322342
Conditioned MC,0.95,7,0.005,0.014183666129042649
Conditioned MC,0.95,7,0.01,0.01426516102613995
Direct MC,0.7,8,0.001,0.018815389730342243
Direct MC,0.7,8,0.0025,0.018065691289393726
Direct MC,0.7,8,0.005,0.0176405419575687
Direct MC,0.7,8,0.01,0.01931300028399896
Conditioned MC,0.7,8,0.001,0.019442964415539162
Conditioned MC,0.7,8,0.0025,0.018282678268036534
Conditioned MC,0.7,8,0.005,0.01802511686351238
Conditioned MC,0.7,8,0.01,0.019410717930513854
Direct MC,0.85,8,0.001,0.7103216487390539
Direct MC,0.85,8,0.0025,0.1020883009434499
Direct MC,0.85,8,0.005,0.06231141084221292
Direct MC,0.85,8,0.01,0.031522128951426254
Conditioned MC,0.85,8,0.001,0.01544650325673302
Conditioned MC,0.85,8,0.0025,0.015301701414728086
Conditioned MC,0.85,8,0.005,0.01620496257337578
Conditioned MC,0.85,8,0.01,0.01710795937381082
Direct MC,0.95,8,0.001,0.3661084671541914
Direct MC,0.95,8,0.0025,0.1963135507145637
Direct MC,0.95,8,0.005,-0.05960431874810013
Direct MC,0.95,8,0.01,-0.021604185345224458
Conditioned MC,0.95,8,0.001,0.015002437752720251
Conditioned MC,0.95,8,0.0025,0.014943007631444516
Conditioned MC,0.95,8,0.005,0.014853464852766507
Conditioned MC,0.95,8,0.01,0.01486316317842018
Direct MC,0.7,9,0.001,0.022563017875398824
Direct MC,0.7,9,0.0025,0.023120432750687314
Direct MC,0.7,9,0.005,0.022485714514772326
Direct MC,0.7,9,0.01,0.021680948324473093
Conditioned MC,0.7,9,0.001,0.022069672263747005
Conditioned MC,0.7,9,0.0025,0.023204312853835063
Conditioned MC,0.7,9,0.005,0.02258672513785598
Conditioned MC,0.7,9,0.01,0.021741497829174783
Direct MC,0.85,9,0.001,0.1334090553630318
Direct MC,0.85,9,0.0025,-0.03889405527175427
Direct MC,0.85,9,0.005,0.0016376382157687885
Direct MC,0.85,9,0.01,0.012467822397483452
Conditioned MC,0.85,9,0.001,0.01978701146860828
Conditioned MC,0.85,9,0.0025,0.019325890685450986
Conditioned MC,0.85,9,0.005,0.01922309028372382
Conditioned MC,0.85,9,0.01,0.018764528661475488
Direct MC,0.95,9,0.001,-0.5243971324248696
Direct MC,0.95,9,0.0025,0.4115999416399774
Direct MC,0.95,9,0.005,0.19982659463365593
Direct MC,0.95,9,0.01,0.0888447244464805
Conditioned MC,0.95,9,0.001,0.014265216306696967
Conditioned MC,0.95,9,0.0025,0.014447299247080991
Conditioned MC,0.95,9,0.005,0.014510447140978044
Conditioned MC,0.95,9,0.01,0.014662299273885182
Direct MC,0.7,10,0.001,0.024915717470896933
Direct MC,0.7,10,0.0025,0.021923362833717874
Direct MC,0.7,10,0.005,0.021114141628032712
Direct MC,0.7,10,0.01,0.021295017503710767
Conditioned MC,0.7,10,0.001,0.02451677160379972
Conditioned MC,0.7,10,0.0025,0.02173069550426021
Conditioned MC,0.7,10,0.005,0.021032820145940434
Conditioned MC,0.7,10,0.01,0.021298088899211365
Direct MC,0.85,10,0.001,0.2290927847447221
Direct MC,0.85,10,0.0025,0.029660196214422285
Direct MC,0.85,10,0.005,0.020218459438758885
Direct MC,0.85,10,0.01,0.02321517511905924
Conditioned MC,0.85,10,0.001,0.019002165582548965
Conditioned MC,0.85,10,0.0025,0.017466662990898385
Conditioned MC,0.85,10,0.005,0.01731868948184001
Conditioned MC,0.85,10,0.01,0.017584355813690777
Direct MC,0.95,10,0.001,1.4591288304237613
Direct MC,0.95,10,0.0025,-0.003209446262843585
Direct MC,0.95,10,0.005,-0.07172016976395312
Direct MC,0.95,10,0.01,0.004071289876542927
Conditioned MC,0.95,10,0.001,0.01262160335668838
Conditioned MC,0.95,10,0.0025,0.01279798135082899
Conditioned MC,0.95,10,0.005,0.01280348153137112
Conditioned MC,0.95,10,0.01,0.012973885433331667
Direct MC,0.7,11,0.001,0.019396497928347852
Direct MC,0.7,11,0.0025,0.020778154041096286
Direct MC,0.7,11,0.005,0.02116760731334466
Direct MC,0.7,11,0.01,0.02119944693879816
Conditioned MC,0.7,11,0.001,0.018779346769548507
Conditioned MC,0.7,11,0.0025,0.020466681373846995
Conditioned MC,0.7,11,0.005,0.02102704534446076
Conditioned MC,0.7,11,0.01,0.021177508251236432
Direct MC,0.85,11,0.001,-0.20986645450342675
Direct MC,0.85,11,0.0025,-0.0935831085766381
Direct MC,0.85,11,0.005,-0.012060917273394978
Direct MC,0.85,11,0.01,0.005570439084378265
Conditioned MC,0.85,11,0.001,0.0179755637772061
Conditioned MC,0.85,11,0.0025,0.02062322134534611
Conditioned MC,0.85,11,0.005,0.019732199003101414
Conditioned MC,0.85,11,0.01,0.019048800129457533
Direct MC,0.95,11,0.001,1.5569265946823838
Direct MC,0.95,11,0.0025,-0.11974070651581314
Direct MC,0.95,11,0.005,-0.0036479228850900824
Direct MC,0.95,11,0.01,-0.008813125726952364
Conditioned MC,0.95,11,0.001,0.013445703132131111
Conditioned MC,0.95,11,0.0025,0.013532991524584759
Conditioned MC,0.95,11,0.005,0.013585922155588293
Conditioned MC,0.95,11,0.01,0.013761398097527966
Direct MC,0.7,12,0.001,0.019195309510244837
Direct MC,0.7,12,0.0025,0.01940618391736848
Direct MC,0.7,12,0.005,0.01884113244619101
Direct MC,0.7,12,0.01,0.01915364609143211
Conditioned MC,0.7,12,0.001,0.01954533657091417
Conditioned MC,0.7,12,0.0025,0.01967164247722053
Conditioned MC,0.7,12,0.005,0.01899895324748968
Conditioned MC,0.7,12,0.01,0.01918884267634624
Direct MC,0.85,12,0.001,-0.034943618806515524
Direct MC,0.85,12,0.0025,0.11790412480934265
Direct MC,0.85,12,0.005,0.038137457842935873
Direct MC,0.85,12,0.01,0.011851985114722297
Conditioned MC,0.85,12,0.001,0.015973895252940903
Conditioned MC,0.85,12,0.0025,0.01635637239388643
Conditioned MC,0.85,12,0.005,0.01638801449607996
Conditioned MC,0.85,12,0.01,0.016812196285308723
Direct MC,0.95,12,0.001,0.5533050530093674
Direct MC,0.95,12,0.0025,0.601619738456165
Direct MC,0.95,12,0.005,0.29883715843106273
Direct MC,0.95,12,0.01,0.0827569859452586
Conditioned MC,0.95,12,0.001,0.014717568625943752
Conditioned MC,0.95,12,0.0025,0.014530672408071155
Conditioned MC,0.95,12,0.005,0.01452876814085613
Conditioned MC,0.95,12,0.01,0.014634364822934565
Direct MC,0.7,13,0.001,0.020797368079250585
Direct MC,0.7,13,0.0025,0.019903580050595338
Direct MC,0.7,13,0.005,0.020308187164069125
Direct MC,0.7,13,0.01,0.020371097814711803
Conditioned MC,0.7,13,0.001,0.020723208167439108
Conditioned MC,0.7,13,0.0025,0.019986707632625667
Conditioned MC,0.7,13,0.005,0.02031453098252456
Conditioned MC,0.7,13,0.01,0.02037558322891897
