Method,Barrier ratio,Replication,Spot bump,Gamma
Conditioned RQMC,0.85,18,0.001,0.01683269367376283
Conditioned RQMC,0.85,18,0.0025,0.017255650459418348
Conditioned RQMC,0.85,18,0.005,0.017085417829747485
Conditioned RQMC,0.85,18,0.01,0.017643802733857683
Direct RQMC,0.95,18,0.001,-1.0329267716405963
Direct RQMC,0.95,18,0.0025,-0.04620163682341172
Direct RQMC,0.95,18,0.005,-0.02800913187244447
Direct RQMC,0.95,18,0.01,0.016850350812902093
Conditioned RQMC,0.95,18,0.001,0.014390996068680547
Conditioned RQMC,0.95,18,0.0025,0.014410247051770853
Conditioned RQMC,0.95,18,0.005,0.01441261122278803
Conditioned RQMC,0.95,18,0.01,0.014516353892395806
Direct RQMC,0.7,19,0.001,0.017332698889838124
Direct RQMC,0.7,19,0.0025,0.02053600197552896
Direct RQMC,0.7,19,0.005,0.02095683914812696
Direct RQMC,0.7,19,0.01,0.021563937048737714
Conditioned RQMC,0.7,19,0.001,0.01717971441301813
Conditioned RQMC,0.7,19,0.0025,0.020537234117881553
Conditioned RQMC,0.7,19,0.005,0.021014042831659197
Conditioned RQMC,0.7,19,0.01,0.02163722149737879
Direct RQMC,0.85,19,0.001,-0.07929311487266942
Direct RQMC,0.85,19,0.0025,0.05361590957923568
Direct RQMC,0.85,19,0.005,0.017435106404732892
Direct RQMC,0.85,19,0.01,0.018578463281344604
Conditioned RQMC,0.85,19,0.001,0.01854401863941035
Conditioned RQMC,0.85,19,0.0025,0.018411573238324763
Conditioned RQMC,0.85,19,0.005,0.017938393014290455
Conditioned RQMC,0.85,19,0.01,0.017925587510061902
Direct RQMC,0.95,19,0.001,-0.9067129152892759
Direct RQMC,0.95,19,0.0025,-0.10475991792029049
Direct RQMC,0.95,19,0.005,-0.049188660515532945
Direct RQMC,0.95,19,0.01,-0.02744742975548231
Conditioned RQMC,0.95,19,0.001,0.014107152202047498
Conditioned RQMC,0.95,19,0.0025,0.014195848196351335
Conditioned RQMC,0.95,19,0.005,0.014262175239121433
Conditioned RQMC,0.95,19,0.01,0.01441125011157851
Direct RQMC,0.7,20,0.001,0.020999226717677285
Direct RQMC,0.7,20,0.0025,0.02256430653463326
Direct RQMC,0.7,20,0.005,0.02290122225250002
Direct RQMC,0.7,20,0.01,0.02218850928867866
Conditioned RQMC,0.7,20,0.001,0.021109949098807586
Conditioned RQMC,0.7,20,0.0025,0.02245071840175683
Conditioned RQMC,0.7,20,0.005,0.02284180435164984
Conditioned RQMC,0.7,20,0.01,0.02216014848047365
Direct RQMC,0.85,20,0.001,0.12502993973591
Direct RQMC,0.85,20,0.0025,0.06699716233592312
Direct RQMC,0.85,20,0.005,0.052077644106184096
Direct RQMC,0.85,20,0.01,0.02285185483103014
Conditioned RQMC,0.85,20,0.001,0.01804098930655584
Conditioned RQMC,0.85,20,0.0025,0.01808821923668802
Conditioned RQMC,0.85,20,0.005,0.018240883444207157
Conditioned RQMC,0.85,20,0.01,0.018474613006072893
Direct RQMC,0.95,20,0.001,-1.503107682139415
Direct RQMC,0.95,20,0.0025,-0.17432711038428295
Direct RQMC,0.95,20,0.005,0.00490375461863124
Direct RQMC,0.95,20,0.01,0.02218868306778443
Conditioned RQMC,0.95,20,0.001,0.0140106144264962
Conditioned RQMC,0.95,20,0.0025,0.014264945720753985
Conditioned RQMC,0.95,20,0.005,0.014294773957352902
Conditioned RQMC,0.95,20,0.01,0.014394353465128518
Direct RQMC,0.7,21,0.001,0.02628593205127316
Direct RQMC,0.7,21,0.0025,0.021945290631066428
Direct RQMC,0.7,21,0.005,0.02098723314798434
Direct RQMC,0.7,21,0.01,0.020692448934891416
Conditioned RQMC,0.7,21,0.001,0.026320893020859156
Conditioned RQMC,0.7,21,0.0025,0.02202318554347471
Conditioned RQMC,0.7,21,0.005,0.020915882138652364
Conditioned RQMC,0.7,21,0.01,0.020629868440886767
Direct RQMC,0.85,21,0.001,0.17202602255572683
Direct RQMC,0.85,21,0.0025,0.04618306864750821
Direct RQMC,0.85,21,0.005,0.014671386186790869
Direct RQMC,0.85,21,0.01,0.022088214177963472
Conditioned RQMC,0.85,21,0.001,0.019717021382348317
Conditioned RQMC,0.85,21,0.0025,0.018634430919973966
Conditioned RQMC,0.85,21,0.005,0.01842671774744531
Conditioned RQMC,0.85,21,0.01,0.018114691695412688
Direct RQMC,0.95,21,0.001,1.3338045772417926
Direct RQMC,0.95,21,0.0025,0.31846453603561997
Direct RQMC,0.95,21,0.005,0.1521936224848055
Direct RQMC,0.95,21,0.01,0.08937682288178106
Conditioned RQMC,0.95,21,0.001,0.014027639274427624
Conditioned RQMC,0.95,21,0.0025,0.014088430953563602
Conditioned RQMC,0.95,21,0.005,0.014089394636123131
Conditioned RQMC,0.95,21,0.01,0.014203969005982309
Direct RQMC,0.7,22,0.001,0.019246987306509308
Direct RQMC,0.7,22,0.0025,0.020836774983195028
Direct RQMC,0.7,22,0.005,0.021188926036323608
Direct RQMC,0.7,22,0.01,0.021768074958311345
Conditioned RQMC,0.7,22,0.001,0.019485666255647512
Conditioned RQMC,0.7,22,0.0025,0.020859687516832537
Conditioned RQMC,0.7,22,0.005,0.021171926514135464
Conditioned RQMC,0.7,22,0.01,0.021689261285056105
Direct RQMC,0.85,22,0.001,0.017851370390076223
Direct RQMC,0.85,22,0.0025,0.017485095743069223
Direct RQMC,0.85,22,0.005,0.0688316543043257
Direct RQMC,0.85,22,0.01,0.0393357031053716
Conditioned RQMC,0.85,22,0.001,0.019173574020214797
Conditioned RQMC,0.85,22,0.0025,0.019092230175743907
Conditioned RQMC,0.85,22,0.005,0.019117341221409845
Conditioned RQMC,0.85,22,0.01,0.018600770748258277
Direct RQMC,0.95,22,0.001,-0.18019884318443144
Direct RQMC,0.95,22,0.0025,-0.052408288852916485
Direct RQMC,0.95,22,0.005,0.029441920203261418
Direct RQMC,0.95,22,0.01,-0.005081585324774096
Conditioned RQMC,0.95,22,0.001,0.014128382569200678
Conditioned RQMC,0.95,22,0.0025,0.014199179582490729
Conditioned RQMC,0.95,22,0.005,0.014284567190934183
Conditioned RQMC,0.95,22,0.01,0.014476383779415514
Direct RQMC,0.7,23,0.001,0.01928772842241244
Direct RQMC,0.7,23,0.0025,0.01949235653995629
Direct RQMC,0.7,23,0.005,0.01942461244602356
Direct RQMC,0.7,23,0.01,0.019522355072876252
Conditioned RQMC,0.7,23,0.001,0.020007684205403106
Conditioned RQMC,0.7,23,0.0025,0.019668383585070615
Conditioned RQMC,0.7,23,0.005,0.019418022878056718
Conditioned RQMC,0.7,23,0.01,0.01945644586824713
Direct RQMC,0.85,23,0.001,-0.13812502545480496
Direct RQMC,0.85,23,0.0025,0.094023906326413
Direct RQMC,0.85,23,0.005,0.03433274276803644
Direct RQMC,0.85,23,0.01,0.014066132166277612
Conditioned RQMC,0.85,23,0.001,0.017771950070155636
Conditioned RQMC,0.85,23,0.0025,0.017049529377828776
Conditioned RQMC,0.85,23,0.005,0.016724106766098146
Conditioned RQMC,0.85,23,0.01,0.016967306649923408
Direct RQMC,0.95,23,0.001,-0.35632840349597567
Direct RQMC,0.95,23,0.0025,0.3275720121205268
Direct RQMC,0.95,23,0.005,-0.005462057299478573
Direct RQMC,0.95,23,0.01,-0.005214428773553159
Conditioned RQMC,0.95,23,0.001,0.014487500539583916
Conditioned RQMC,0.95,23,0.0025,0.014377285899357162
Conditioned RQMC,0.95,23,0.005,0.014393778539773194
Conditioned RQMC,0.95,23,0.01,0.014494772523907962
