Method,Sampling,Treatment,Barrier ratio,Replication,Seed / scramble,Price,Runtime seconds
Direct MC,MC,Direct,0.7,17,20260746,8.84425319116188,0.07429939997382462
Conditioned MC,MC,Conditioned,0.7,17,20260746,8.844297823027608,0.5551202999777161
Direct MC,MC,Direct,0.85,17,20260746,8.721569767562118,0.07664240000303835
Conditioned MC,MC,Conditioned,0.85,17,20260746,8.719880510250025,0.5513376999879256
Direct MC,MC,Direct,0.95,17,20260746,6.796704520628498,0.07258190005086362
Conditioned MC,MC,Conditioned,0.95,17,20260746,6.746373359553157,0.5307746999897063
Direct MC,MC,Direct,0.7,18,20260747,8.763414502639431,0.07356829999480397
Conditioned MC,MC,Conditioned,0.7,18,20260747,8.763427237559162,0.5717509999522008
Direct MC,MC,Direct,0.85,18,20260747,8.636184967296634,0.08070769999176264
Conditioned MC,MC,Conditioned,0.85,18,20260747,8.631102619056515,0.5658701000502333
Direct MC,MC,Direct,0.95,18,20260747,6.6550852901631625,0.07571349997306243
Conditioned MC,MC,Conditioned,0.95,18,20260747,6.646317771478603,0.5483576999977231
Direct MC,MC,Direct,0.7,19,20260748,8.790684210041741,0.08074220002163202
Conditioned MC,MC,Conditioned,0.7,19,20260748,8.790829558077823,0.6169289000099525
Direct MC,MC,Direct,0.85,19,20260748,8.656457285620236,0.08434579998720437
Conditioned MC,MC,Conditioned,0.85,19,20260748,8.657335425855159,0.5755970000172965
Direct MC,MC,Direct,0.95,19,20260748,6.619105698957235,0.07650480000302196
Conditioned MC,MC,Conditioned,0.95,19,20260748,6.6680169206269495,0.5725682000047527
Direct MC,MC,Direct,0.7,20,20260749,8.784892432878719,0.07392120000440627
Conditioned MC,MC,Conditioned,0.7,20,20260749,8.784784141389249,0.5863954999949783
Direct MC,MC,Direct,0.85,20,20260749,8.661437295856484,0.07651839999016374
Conditioned MC,MC,Conditioned,0.85,20,20260749,8.654100129459307,0.5807516999775544
Direct MC,MC,Direct,0.95,20,20260749,6.739220651084359,0.08448059996590018
Conditioned MC,MC,Conditioned,0.95,20,20260749,6.689102938954154,0.5457523000077344
Direct MC,MC,Direct,0.7,21,20260750,8.573148633071662,0.08030999999027699
Conditioned MC,MC,Conditioned,0.7,21,20260750,8.573230975731162,0.5836912000086159
Direct MC,MC,Direct,0.85,21,20260750,8.440440439564878,0.0730494000017643
Conditioned MC,MC,Conditioned,0.85,21,20260750,8.450777175650568,0.572049500013236
Direct MC,MC,Direct,0.95,21,20260750,6.476852053971238,0.07615149999037385
Conditioned MC,MC,Conditioned,0.95,21,20260750,6.557042868145842,0.5643547999789007
Direct MC,MC,Direct,0.7,22,20260751,8.713506681009273,0.08615340001415461
Conditioned MC,MC,Conditioned,0.7,22,20260751,8.71346303303254,0.5888577000005171
Direct MC,MC,Direct,0.85,22,20260751,8.588452838398164,0.07678850000957027
Conditioned MC,MC,Conditioned,0.85,22,20260751,8.579692612932739,0.5905987999867648
Direct MC,MC,Direct,0.95,22,20260751,6.640822812735062,0.08173879998503253
Conditioned MC,MC,Conditioned,0.95,22,20260751,6.627320592498655,0.5525720000150613
Direct MC,MC,Direct,0.7,23,20260752,8.975662744232444,0.08695860003354028
Conditioned MC,MC,Conditioned,0.7,23,20260752,8.975702171618432,0.5674751999904402
Direct MC,MC,Direct,0.85,23,20260752,8.869491148251793,0.08249770000111312
Conditioned MC,MC,Conditioned,0.85,23,20260752,8.857752406803261,0.5963407999952324
Direct MC,MC,Direct,0.95,23,20260752,6.879825726450795,0.08959270000923425
Conditioned MC,MC,Conditioned,0.95,23,20260752,6.857357263327032,0.5981539000058547
Direct RQMC,RQMC,Direct,0.7,0,30260729,8.698206847762764,0.08318199997302145
Conditioned RQMC,RQMC,Conditioned,0.7,0,30260729,8.698131487859072,0.5715373000130057
Direct RQMC,RQMC,Direct,0.85,0,30260729,8.571784076790577,0.07841529999859631
Conditioned RQMC,RQMC,Conditioned,0.85,0,30260729,8.569443787290412,0.5587631000089459
Direct RQMC,RQMC,Direct,0.95,0,30260729,6.606738126213891,0.0747992999968119
Conditioned RQMC,RQMC,Conditioned,0.95,0,30260729,6.626730474839693,0.5601424000342377
Direct RQMC,RQMC,Direct,0.7,1,30260730,8.678462278090741,0.08447739999974146
Conditioned RQMC,RQMC,Conditioned,0.7,1,30260730,8.678600077624834,0.5741910000215285
Direct RQMC,RQMC,Direct,0.85,1,30260730,8.561285588752767,0.0774985000025481
Conditioned RQMC,RQMC,Conditioned,0.85,1,30260730,8.558141137023968,0.5820597999845631
Direct RQMC,RQMC,Direct,0.95,1,30260730,6.611086245391949,0.07371520000742748
Conditioned RQMC,RQMC,Conditioned,0.95,1,30260730,6.616245066896566,0.5585609000409022
Direct RQMC,RQMC,Direct,0.7,2,30260731,8.703516704937464,0.08185099996626377
Conditioned RQMC,RQMC,Conditioned,0.7,2,30260731,8.70318167428176,0.6212040999671444
Direct RQMC,RQMC,Direct,0.85,2,30260731,8.581942090610813,0.08009110001148656
Conditioned RQMC,RQMC,Conditioned,0.85,2,30260731,8.5783002746889,0.5835111000342295
Direct RQMC,RQMC,Direct,0.95,2,30260731,6.641455632355491,0.08584769995650277
Conditioned RQMC,RQMC,Conditioned,0.95,2,30260731,6.627747061534831,0.5903837000369094
Direct RQMC,RQMC,Direct,0.7,3,30260732,8.701302046669795,0.08526269998401403
Conditioned RQMC,RQMC,Conditioned,0.7,3,30260732,8.701051555538614,0.6056882999837399
Direct RQMC,RQMC,Direct,0.85,3,30260732,8.565396129154191,0.08321020001312718
Conditioned RQMC,RQMC,Conditioned,0.85,3,30260732,8.569262391254746,0.5738154000137001
