Method,Barrier ratio,Replication,Spot bump,Delta
Direct MC,0.95,10,0.0025,0.7893287751827351
Direct MC,0.95,10,0.005,0.7721515246584447
Direct MC,0.95,10,0.01,0.7706549195052097
Conditioned MC,0.95,10,0.001,0.8003423619740646
Conditioned MC,0.95,10,0.0025,0.8002902790260062
Conditioned MC,0.95,10,0.005,0.8001124531708772
Conditioned MC,0.95,10,0.01,0.7993754827416164
Direct MC,0.7,11,0.001,0.5950136295017483
Direct MC,0.7,11,0.0025,0.5951401599145321
Direct MC,0.7,11,0.005,0.5951533870200869
Direct MC,0.7,11,0.01,0.5953949153099529
Conditioned MC,0.7,11,0.001,0.5950364008807263
Conditioned MC,0.7,11,0.0025,0.5951392106657742
Conditioned MC,0.7,11,0.005,0.5951427785886008
Conditioned MC,0.7,11,0.01,0.5953640746234763
Direct MC,0.85,11,0.001,0.6119545656095404
Direct MC,0.85,11,0.0025,0.6162925917377677
Direct MC,0.85,11,0.005,0.6085010419201833
Direct MC,0.85,11,0.01,0.6115061208239032
Conditioned MC,0.85,11,0.001,0.6154494944518785
Conditioned MC,0.85,11,0.0025,0.6153679234999636
Conditioned MC,0.85,11,0.005,0.6152499261377677
Conditioned MC,0.85,11,0.01,0.6153729730693911
Direct MC,0.95,11,0.001,0.6936340607542624
Direct MC,0.95,11,0.0025,0.7810477781383938
Direct MC,0.95,11,0.005,0.8021483924055248
Direct MC,0.95,11,0.01,0.794037827382776
Conditioned MC,0.95,11,0.001,0.7984224995001332
Conditioned MC,0.95,11,0.0025,0.7983463792556016
Conditioned MC,0.95,11,0.005,0.7981409556862973
Conditioned MC,0.95,11,0.01,0.7974016852556871
Direct MC,0.7,12,0.001,0.5958076132887857
Direct MC,0.7,12,0.0025,0.5956319628272233
Direct MC,0.7,12,0.005,0.5955132299484465
Direct MC,0.7,12,0.01,0.5956387746430085
Conditioned MC,0.7,12,0.001,0.5957810849161582
Conditioned MC,0.7,12,0.0025,0.5956166850895066
Conditioned MC,0.7,12,0.005,0.5955154553152155
