Method,Barrier ratio,Replication,Spot bump,Delta
Direct RQMC,0.95,18,0.001,0.8343825853375719
Direct RQMC,0.95,18,0.0025,0.7938269277768235
Direct RQMC,0.95,18,0.005,0.8008305552508332
Direct RQMC,0.95,18,0.01,0.8142718206746293
Conditioned RQMC,0.95,18,0.001,0.7930809920547377
Conditioned RQMC,0.95,18,0.0025,0.7930216985468714
Conditioned RQMC,0.95,18,0.005,0.7928491947483884
Conditioned RQMC,0.95,18,0.01,0.7921558892110272
Direct RQMC,0.7,19,0.001,0.5903682231742291
Direct RQMC,0.7,19,0.0025,0.5903997077894587
Direct RQMC,0.7,19,0.005,0.5903981858030676
Direct RQMC,0.7,19,0.01,0.5906443585787455
Conditioned RQMC,0.7,19,0.001,0.5903616482337881
Conditioned RQMC,0.7,19,0.0025,0.5903959069767488
Conditioned RQMC,0.7,19,0.005,0.5904047349990922
Conditioned RQMC,0.7,19,0.01,0.5906374835965611
Direct RQMC,0.85,19,0.001,0.5963015806091043
Direct RQMC,0.85,19,0.0025,0.6105431715020337
Direct RQMC,0.85,19,0.005,0.6084054549458706
Direct RQMC,0.85,19,0.01,0.6079226679393375
Conditioned RQMC,0.85,19,0.001,0.610698715335749
Conditioned RQMC,0.85,19,0.0025,0.6107444353658309
Conditioned RQMC,0.85,19,0.005,0.6108224025937652
Conditioned RQMC,0.85,19,0.01,0.6111477760386519
Direct RQMC,0.95,19,0.001,0.734945750975351
Direct RQMC,0.95,19,0.0025,0.7561465420882101
Direct RQMC,0.95,19,0.005,0.7840922995538104
Direct RQMC,0.95,19,0.01,0.7841125229117591
Conditioned RQMC,0.95,19,0.001,0.7941570276364063
Conditioned RQMC,0.95,19,0.0025,0.7941137855525859
Conditioned RQMC,0.95,19,0.005,0.7939323233659623
Conditioned RQMC,0.95,19,0.01,0.7932352732575643
Direct RQMC,0.7,20,0.001,0.597996310773663
Direct RQMC,0.7,20,0.0025,0.5981943836449197
Direct RQMC,0.7,20,0.005,0.5981935022142437
Direct RQMC,0.7,20,0.01,0.598217178683452
Conditioned RQMC,0.7,20,0.001,0.5980097726366917
Conditioned RQMC,0.7,20,0.0025,0.5982297023066288
Conditioned RQMC,0.7,20,0.005,0.598238573390331
Conditioned RQMC,0.7,20,0.01,0.5982273047491109
Direct RQMC,0.85,20,0.001,0.6148450077419376
Direct RQMC,0.85,20,0.0025,0.6236819932228066
Direct RQMC,0.85,20,0.005,0.6204874777232856
Direct RQMC,0.85,20,0.01,0.6211445363082388
Conditioned RQMC,0.85,20,0.001,0.6173425381157926
Conditioned RQMC,0.85,20,0.0025,0.6175286284749433
Conditioned RQMC,0.85,20,0.005,0.6176771693368082
Conditioned RQMC,0.85,20,0.01,0.6177648192548006
Direct RQMC,0.95,20,0.001,0.7782764535656561
Direct RQMC,0.95,20,0.0025,0.7820782847178567
Direct RQMC,0.95,20,0.005,0.763068496775487
Direct RQMC,0.95,20,0.01,0.7749666734517864
Conditioned RQMC,0.95,20,0.001,0.7942240554012159
Conditioned RQMC,0.95,20,0.0025,0.7941818011962383
Conditioned RQMC,0.95,20,0.005,0.7940045399869593
Conditioned RQMC,0.95,20,0.01,0.7932995741777793
Direct RQMC,0.7,21,0.001,0.5938855420150002
Direct RQMC,0.7,21,0.0025,0.5938713812581788
Direct RQMC,0.7,21,0.005,0.5938507629170164
Direct RQMC,0.7,21,0.01,0.5941547723153668
Conditioned RQMC,0.7,21,0.001,0.5938752165191286
Conditioned RQMC,0.7,21,0.0025,0.5938793943112621
Conditioned RQMC,0.7,21,0.005,0.5938338790214175
Conditioned RQMC,0.7,21,0.01,0.5941121174193276
Direct RQMC,0.85,21,0.001,0.605977471120589
Direct RQMC,0.85,21,0.0025,0.6068788476038094
Direct RQMC,0.85,21,0.005,0.6084997039158111
Direct RQMC,0.85,21,0.01,0.6121806056625974
Conditioned RQMC,0.85,21,0.001,0.6120428554633683
Conditioned RQMC,0.85,21,0.0025,0.6121329500944483
Conditioned RQMC,0.85,21,0.005,0.6121150887950151
Conditioned RQMC,0.85,21,0.01,0.6122002197254091
Direct RQMC,0.95,21,0.001,0.771430431967346
Direct RQMC,0.95,21,0.0025,0.7504228666199086
Direct RQMC,0.95,21,0.005,0.7656268435911864
Direct RQMC,0.95,21,0.01,0.7968149813227341
Conditioned RQMC,0.95,21,0.001,0.7937404185609642
Conditioned RQMC,0.95,21,0.0025,0.7936883921171116
Conditioned RQMC,0.95,21,0.005,0.7934906256001355
Conditioned RQMC,0.95,21,0.01,0.7927876062287509
Direct RQMC,0.7,22,0.001,0.5914425039829663
Direct RQMC,0.7,22,0.0025,0.5915303722043816
Direct RQMC,0.7,22,0.005,0.591839485440607
Direct RQMC,0.7,22,0.01,0.5922212503274329
Conditioned RQMC,0.7,22,0.001,0.591496791122541
Conditioned RQMC,0.7,22,0.0025,0.591577597519386
Conditioned RQMC,0.7,22,0.005,0.5918942401504008
Conditioned RQMC,0.7,22,0.01,0.5922991981103509
Direct RQMC,0.85,22,0.001,0.6041628065518267
Direct RQMC,0.85,22,0.0025,0.6068093752190684
Direct RQMC,0.85,22,0.005,0.6127074469376499
Direct RQMC,0.85,22,0.01,0.6104022529067739
Conditioned RQMC,0.85,22,0.001,0.6111963902245598
Conditioned RQMC,0.85,22,0.0025,0.6112026712541798
Conditioned RQMC,0.85,22,0.005,0.6113282712606196
Conditioned RQMC,0.85,22,0.01,0.6114546762410842
Direct RQMC,0.95,22,0.001,0.8841151234487699
Direct RQMC,0.95,22,0.0025,0.8824736530633004
Direct RQMC,0.95,22,0.005,0.8304344143917319
Direct RQMC,0.95,22,0.01,0.8066315985283525
Conditioned RQMC,0.95,22,0.001,0.7929138701687455
Conditioned RQMC,0.95,22,0.0025,0.7928570443813552
Conditioned RQMC,0.95,22,0.005,0.7926790213002004
Conditioned RQMC,0.95,22,0.01,0.7919799304247075
Direct RQMC,0.7,23,0.001,0.5959765023051133
Direct RQMC,0.7,23,0.0025,0.5959792428041979
Direct RQMC,0.7,23,0.005,0.596014956606977
Direct RQMC,0.7,23,0.01,0.5957951071269232
Conditioned RQMC,0.7,23,0.001,0.5958902357823792
Conditioned RQMC,0.7,23,0.0025,0.5958862034890906
Conditioned RQMC,0.7,23,0.005,0.5959636010984504
Conditioned RQMC,0.7,23,0.01,0.595779880035872
Direct RQMC,0.85,23,0.001,0.6012038555583299
Direct RQMC,0.85,23,0.0025,0.6084556011101796
Direct RQMC,0.85,23,0.005,0.6119900167421601
Direct RQMC,0.85,23,0.01,0.6131029119637468
Conditioned RQMC,0.85,23,0.001,0.6160744002964336
Conditioned RQMC,0.85,23,0.0025,0.6161657992077956
Conditioned RQMC,0.85,23,0.005,0.616202469544584
Conditioned RQMC,0.85,23,0.01,0.6160516315402007
Direct RQMC,0.95,23,0.001,0.7921056919238767
Direct RQMC,0.95,23,0.0025,0.7973082167750825
Direct RQMC,0.95,23,0.005,0.8068010447112703
Direct RQMC,0.95,23,0.01,0.7910814636535828
Conditioned RQMC,0.95,23,0.001,0.7952432368417783
Conditioned RQMC,0.95,23,0.0025,0.7951889078386589
Conditioned RQMC,0.95,23,0.005,0.7950079077092651
Conditioned RQMC,0.95,23,0.01,0.794316248201437
