Method,Barrier ratio,Spot bump,Mean_Gamma,Replication_SD,MAD,P05,P95
Direct RQMC,0.7,0.001,0.021606646652220594,0.002868395856387771,0.0013622753225028816,0.0176198421523388,0.02647545032471221
Direct RQMC,0.7,0.0025,0.021438753901210344,0.0015369459378702902,0.0011585726562231002,0.019031082396986677,0.02379562736733618
Direct RQMC,0.7,0.005,0.021285155818685435,0.0012750643047277144,0.0012396483441463602,0.0193822913035941,0.022933053087904654
Direct RQMC,0.7,0.01,0.02121347560551475,0.000932054572406285,0.0008396616840116167,0.01995371314940959,0.022450157429124838
Direct RQMC,0.85,0.001,-0.03261862272335343,0.23276297214961467,0.17462329990296507,-0.33920073085782926,0.27452559931895754
Direct RQMC,0.85,0.0025,0.02679894976534669,0.06677336175675552,0.051772420564972776,-0.06573211230795692,0.13578185796211525
Direct RQMC,0.85,0.005,0.021680598544312996,0.028899605045552678,0.016234347453892184,-0.017818224209813494,0.06839715908116517
Direct RQMC,0.85,0.01,0.020641022017626964,0.009841752675122464,0.004480767064905411,0.0011961315362696305,0.03492491956460841
Direct RQMC,0.95,0.001,0.33273001977597666,1.1126894747784748,0.8120836973275922,-1.4325805455645921,1.9717115301350927
Direct RQMC,0.95,0.0025,0.08800805296542673,0.2403176276269537,0.17909273510982615,-0.18750270473484676,0.43758278662856237
Direct RQMC,0.95,0.005,0.027438444162116788,0.06406958816346787,0.039862295496543965,-0.051152365758648344,0.15004850447200346
Direct RQMC,0.95,0.01,0.020239720368642966,0.02700348600896432,0.013109957781836545,-0.01878663183393496,0.06743565780800499
