sampling,method,monitoring_steps,sample_size,mean_price,replication_sd,mean_runtime_seconds,se_of_mean,bias_vs_analytic,rmse_vs_analytic
MC,Bernoulli bridge,504,65536,4.934613851177766,0.03610011737584901,5.791560849989764,0.018050058687924506,0.018204256445646827,0.036177462717159076
MC,Conditional weight,12,1024,4.882664659072268,0.24753183630050954,0.002348149981116876,0.12376591815025477,-0.03374493565985137,0.21700859008208456
MC,Conditional weight,12,4096,4.993039511442975,0.07827471475802805,0.009199924999848008,0.039137357379014026,0.07662991671085528,0.10231003060771054
MC,Conditional weight,12,16384,4.971683841889015,0.06274439187783457,0.034890150011051446,0.03137219593891728,0.05527424715689566,0.077510556912275
MC,Conditional weight,12,65536,4.923335014822815,0.03197950310928679,0.1404497750045266,0.015989751554643394,0.006925420090695411,0.028547817916090963
MC,Conditional weight,24,1024,5.132030980205902,0.03970792804791826,0.004421199992066249,0.01985396402395913,0.2156213854737823,0.21834633391936628
MC,Conditional weight,24,4096,4.954842760829569,0.22180266697773063,0.017433849978260696,0.11090133348886531,0.038433166097449956,0.19589391405834888
MC,Conditional weight,24,16384,4.878787217517718,0.06623672809793466,0.07278982497518882,0.03311836404896733,-0.03762237721440176,0.0685997185060003
MC,Conditional weight,24,65536,4.893426073897767,0.016691677142788654,0.28528092498891056,0.008345838571394327,-0.02298352083435251,0.027151451053717603
MC,Conditional weight,52,1024,4.712914143972041,0.13928784956233056,0.00867082504555583,0.06964392478116528,-0.20349545076007836,0.23656125476675474
MC,Conditional weight,52,4096,4.952012549523836,0.1911999454378052,0.03482817503390834,0.0955999727189026,0.03560295479171671,0.16936834043429044
MC,Conditional weight,52,16384,4.879199472898275,0.061777696145151266,0.14120560002629645,0.030888848072575633,-0.03721012183384431,0.06516867324598166
MC,Conditional weight,52,65536,4.8950231104333755,0.03340055435607138,0.5718965999840293,0.01670027717803569,-0.021386484298743902,0.035973316279293226
MC,Conditional weight,104,1024,4.734983680654175,0.4554697402083156,0.01750725001329556,0.2277348701041578,-0.18142591407794395,0.4341714816556823
MC,Conditional weight,104,4096,4.9506095427089285,0.23029198731767606,0.0713199499878101,0.11514599365883803,0.03419994797680914,0.20234978628271394
MC,Conditional weight,104,16384,4.959301002593548,0.06530986130134324,0.2885791000153404,0.03265493065067162,0.0428914078614282,0.07098384573785717
MC,Conditional weight,104,65536,4.930729812586292,0.038938584076670384,1.1974304000032134,0.019469292038335192,0.01432021785417259,0.036636438648058156
MC,Conditional weight,252,1024,4.8232558044174585,0.14444157955129586,0.04496294996351935,0.07222078977564793,-0.09315379031466087,0.15596523996532946
MC,Conditional weight,252,4096,4.996592619589332,0.07490693952793238,0.17676804997608997,0.03745346976396619,0.08018302485721307,0.1031387641351856
MC,Conditional weight,252,16384,4.92395563089516,0.041178851207308104,0.7136098999762908,0.020589425603654052,0.007546036163041059,0.03645155691927488
MC,Conditional weight,252,65536,4.9436959251096315,0.03201383012997131,2.86828987498302,0.016006915064985656,0.027286330377512158,0.03889997191726169
MC,Conditional weight,504,1024,5.22079721102176,0.4082313600581965,0.08823772499454208,0.20411568002909825,0.30438761628964084,0.46652058202368
MC,Conditional weight,504,4096,4.962589801407692,0.05912056499489863,0.35746582501451485,0.029560282497449315,0.04618020667557232,0.06894956412179555
MC,Conditional weight,504,16384,4.926120472046384,0.04114879699720079,1.4356329749862198,0.020574398498600394,0.009710877314264899,0.03693533212183617
MC,Conditional weight,504,65536,4.9348330473390964,0.03037842836576722,5.791560849989764,0.01518921418288361,0.018423452606977087,0.03211791226779947
MC,Direct,12,1024,6.650930441610775,0.3578895791224547,0.002348149981116876,0.17894478956122736,1.734520846878656,1.7619949720104155
MC,Direct,12,4096,6.735808835317998,0.13804915453090966,0.009199924999848008,0.06902457726545483,1.819399240585879,1.8233230030481429
MC,Direct,12,16384,6.693602126490434,0.07784208252846885,0.034890150011051446,0.03892104126423442,1.777192531758315,1.7784706456101005
MC,Direct,12,65536,6.629507161092355,0.019158712893381523,0.1404497750045266,0.009579356446690761,1.7130975663602355,1.7131779137261722
MC,Direct,24,1024,6.433194018034161,0.17044797551248295,0.004421199992066249,0.08522398775624147,1.5167844233020418,1.5239502521535717
MC,Direct,24,4096,6.237799415776796,0.23944888329740635,0.017433849978260696,0.11972444164870318,1.3213898210446766,1.3375622919867187
MC,Direct,24,16384,6.166473284666383,0.04111164780997941,0.07278982497518882,0.020555823904989706,1.2500636899342634,1.250570611593486
MC,Direct,24,65536,6.158827561296343,0.015562946662174669,0.28528092498891056,0.007781473331087334,1.2424179665642239,1.2424910694339777
MC,Direct,52,1024,5.584747668913547,0.14659083153210462,0.00867082504555583,0.07329541576605231,0.6683380741814275,0.6802884941827946
MC,Direct,52,4096,5.8345919226278955,0.19632555920848163,0.03482817503390834,0.09816277960424082,0.9181823278957761,0.9337915083994924
MC,Direct,52,16384,5.783461933682784,0.08333526843972416,0.14120560002629645,0.04166763421986208,0.867052338950665,0.8700507650156166
MC,Direct,52,65536,5.811247608470441,0.03424911274734329,0.5718965999840293,0.017124556373671645,0.8948380137383216,0.8953294489315818
MC,Direct,104,1024,5.371024752377355,0.5015769938536552,0.01750725001329556,0.2507884969268276,0.45461515764523597,0.6287762337535147
MC,Direct,104,4096,5.607899840863179,0.24776927226669151,0.0713199499878101,0.12388463613334576,0.6914902461310595,0.7240172440654077
MC,Direct,104,16384,5.623831698276061,0.04545145545943916,0.2885791000153404,0.02272572772971958,0.7074221035439416,0.7085163432730901
MC,Direct,104,65536,5.600038995492205,0.04400289399125839,1.1974304000032134,0.022001446995629195,0.6836294007600854,0.6846906955650103
MC,Direct,252,1024,5.284119151248753,0.1302546693181981,0.04496294996351935,0.06512733465909905,0.3677095565166333,0.3846232274746991
MC,Direct,252,4096,5.450749876124524,0.08741566704871946,0.17676804997608997,0.04370783352435973,0.5343402813924047,0.5396764405203305
MC,Direct,252,16384,5.360354366037659,0.049164271080223025,0.7136098999762908,0.024582135540111513,0.44394477130553955,0.44598184282845554
MC,Direct,252,65536,5.38074492041622,0.0365873356159765,2.86828987498302,0.01829366780798825,0.4643353256841003,0.4654151582445144
MC,Direct,504,1024,5.5107785517391825,0.38184844910924615,0.08823772499454208,0.19092422455462307,0.5943689570070632,0.6801695638728742
MC,Direct,504,4096,5.258608945234223,0.03745874836432635,0.35746582501451485,0.018729374182163173,0.3421993505021037,0.34373356521560156
MC,Direct,504,16384,5.231129832198588,0.040974189760495265,1.4356329749862198,0.020487094880247633,0.31472023746646904,0.3167143682260837
MC,Direct,504,65536,5.242307167644663,0.03448989045664476,5.791560849989764,0.01724494522832238,0.3258975729125435,0.32726349084196726
RQMC,Bernoulli bridge,12,1024,4.895740468347803,0.13804975777940712,0.012341700028628111,0.06902487888970356,-0.020669126384316172,0.12132812741778203
RQMC,Bernoulli bridge,12,4096,4.94991009408146,0.03301262398219332,0.023556275002192706,0.01650631199109666,0.03350049934934063,0.04404155382473983
RQMC,Bernoulli bridge,12,16384,4.93047104544875,0.011012537004909936,0.06507937499554828,0.005506268502454968,0.014061450716631008,0.01699062608380367
RQMC,Bernoulli bridge,12,65536,4.910549485836515,0.0070502677156189745,0.22298837499693036,0.0035251338578094872,-0.005860108895604732,0.008462894446628311
RQMC,Bernoulli bridge,24,1024,4.9019485822339695,0.13866127149750643,0.00939630001084879,0.06933063574875321,-0.014461012498149906,0.12095177568953057
RQMC,Bernoulli bridge,24,4096,4.945212425995641,0.07910976744478058,0.02871640003286302,0.03955488372239029,0.02880283126352179,0.07431937545263957
RQMC,Bernoulli bridge,24,16384,4.938563413265362,0.03650621735560636,0.1042118999757804,0.01825310867780318,0.022153818533242386,0.038604657812431255
RQMC,Bernoulli bridge,24,65536,4.917492202698133,0.018669000274800868,0.4049372499866877,0.009334500137400434,0.0010826079660137822,0.016204034017906283
RQMC,Bernoulli bridge,52,1024,4.945298954243076,0.2134429242458799,0.022479200008092448,0.10672146212293995,0.028889359510956503,0.18709090444467774
RQMC,Bernoulli bridge,52,4096,4.938162306489924,0.08306040538970359,0.06591075003962032,0.041530202694851796,0.02175271175780491,0.0751495420907176
RQMC,Bernoulli bridge,52,16384,4.940416444654856,0.07981109227800794,0.23733022500528023,0.03990554613900397,0.024006849922736606,0.07316889148517519
RQMC,Bernoulli bridge,52,65536,4.913748099057477,0.025763174789092243,0.9195304750464857,0.012881587394546121,-0.0026614956746424667,0.022469745006032407
RQMC,Bernoulli bridge,104,1024,4.928834199165478,0.21326911846740193,0.04100797502906062,0.10663455923370097,0.012424604433358688,0.18511390672832362
RQMC,Bernoulli bridge,104,4096,4.92112370614461,0.05757482203247098,0.12225777501589619,0.02878741101623549,0.0047141114124906736,0.05008360954905723
RQMC,Bernoulli bridge,104,16384,4.924843711231912,0.03891292790928461,0.44439512499957345,0.019456463954642306,0.00843411649979231,0.03473897364613651
RQMC,Bernoulli bridge,104,65536,4.916082473029418,0.02157190850939632,1.7192055250052363,0.01078595425469816,-0.0003271217027016604,0.01868468453471182
RQMC,Bernoulli bridge,252,1024,5.052162975814108,0.12689657314789357,0.09695492501487024,0.06344828657394679,0.13575338108198842,0.17465977122022291
RQMC,Bernoulli bridge,252,4096,4.955541298991413,0.07920059516698857,0.2889534500136506,0.03960029758349429,0.0391317042592938,0.07896734125156257
RQMC,Bernoulli bridge,252,16384,4.92194107836657,0.025189952436565858,1.0411255999933928,0.012594976218282929,0.005531483634450218,0.022505501305581425
RQMC,Bernoulli bridge,252,65536,4.906810674473069,0.01459535619743079,4.10600157501176,0.007297678098715395,-0.009598920259050736,0.015871596864746405
RQMC,Bernoulli bridge,504,1024,4.846130570777306,0.31455095919873916,0.19115037497249432,0.15727547959936958,-0.07027902395481345,0.2813287590305624
RQMC,Bernoulli bridge,504,4096,4.8357184488921225,0.09134771651016545,0.5640102500037756,0.045673858255082724,-0.08069114583999681,0.11300161503574986
RQMC,Bernoulli bridge,504,16384,4.890239287662424,0.032007847431363534,2.087114774971269,0.016003923715681767,-0.026170307069695475,0.03812166962521771
RQMC,Bernoulli bridge,504,65536,4.913985173998964,0.005108989993310784,8.179635249980493,0.002554494996655392,-0.002424420733155408,0.005045210595720031
RQMC,Conditional weight,12,1024,4.895928516634683,0.04319209102563308,0.012341700028628111,0.02159604551281654,-0.020481078097436267,0.042645540275721885
RQMC,Conditional weight,12,4096,4.92474571665362,0.03228776167170006,0.023556275002192706,0.01614388083585003,0.00833612192150035,0.029178169819515685
RQMC,Conditional weight,12,16384,4.920523322604094,0.01590442605725025,0.06507937499554828,0.007952213028625124,0.004113727871974504,0.014374833326427486
RQMC,Conditional weight,12,65536,4.91550816685948,0.0036545022382828665,0.22298837499693036,0.0018272511191414333,-0.0009014278726393599,0.003290761639314237
RQMC,Conditional weight,24,1024,4.931960429982786,0.1843687519774862,0.00939630001084879,0.0921843759887431,0.015550835250667028,0.16042352073899654
RQMC,Conditional weight,24,4096,4.949768175006759,0.07109412908071346,0.02871640003286302,0.03554706454035673,0.03335858027463967,0.07002554012821627
RQMC,Conditional weight,24,16384,4.921579810991252,0.02151646943165053,0.1042118999757804,0.010758234715825266,0.005170216259132943,0.019337786294417382
RQMC,Conditional weight,24,65536,4.91678089597359,0.005849397091552807,0.4049372499866877,0.0029246985457764036,0.0003713012414703343,0.005079315836106005
RQMC,Conditional weight,52,1024,4.943786817451969,0.2042365144139458,0.022479200008092448,0.1021182572069729,0.027377222719849215,0.1789802438506011
RQMC,Conditional weight,52,4096,4.926160805767619,0.08853694254871919,0.06591075003962032,0.044268471274359594,0.009751211035499807,0.07729281184926125
RQMC,Conditional weight,52,16384,4.932046735426237,0.08173801065644759,0.23733022500528023,0.040869005328223795,0.01563714069411759,0.07249377186105571
RQMC,Conditional weight,52,65536,4.912586836577663,0.01782237052138893,0.9195304750464857,0.008911185260694465,-0.0038227581544560962,0.015900979471677967
RQMC,Conditional weight,104,1024,4.909792205804678,0.2298997700251085,0.04100797502906062,0.11494988501255425,-0.006617388927441681,0.19920898079508204
