method,replication,greek,bump,estimate,analytic_fd,error_vs_analytic
Direct,4,Gamma,0.01,0.049828476543186895,-0.009384048060720573,0.05921252460390747
Direct,4,Delta,0.02,0.8598626510229725,0.9533291555456804,-0.09346650452270788
Direct,4,Gamma,0.02,0.023674636172284824,-0.009421480644813407,0.03309611681709823
Direct,4,Vega per vol point,0.0025,0.09817151373803945,0.017063382381117265,0.08110813135692219
Direct,4,Vega per vol point,0.005,0.10274404502283208,0.01708216570558463,0.08566187931724745
Direct,4,Vega per vol point,0.01,0.07746884290601264,0.01715752906885548,0.060311313837157154
Bernoulli bridge,4,Delta,0.001,0.8925258985309936,0.9522425621447539,-0.05971666361376027
Bernoulli bridge,4,Gamma,0.001,-0.1887251071527096,-0.009371690172343959,-0.17935341698036564
Bernoulli bridge,4,Delta,0.0025,0.9119572216345819,0.9522568488218823,-0.0402996271873004
Bernoulli bridge,4,Gamma,0.0025,0.05481803926984696,-0.009372345575741292,0.06419038484558826
Bernoulli bridge,4,Delta,0.005,0.8907265280460468,0.9523078749804235,-0.06158134693437667
Bernoulli bridge,4,Gamma,0.005,-0.09313507290880096,-0.009374686255810616,-0.08376038665299035
Bernoulli bridge,4,Delta,0.01,0.9405346902232723,0.9525120157151026,-0.011977325491830282
Bernoulli bridge,4,Gamma,0.01,-0.028331692531108565,-0.009384048060720573,-0.018947644470387992
Bernoulli bridge,4,Delta,0.02,0.9272741664413642,0.9533291555456804,-0.02605498910431625
Bernoulli bridge,4,Gamma,0.02,-0.02568777496359753,-0.009421480644813407,-0.016266294318784125
Bernoulli bridge,4,Vega per vol point,0.0025,0.04678974022058391,0.017063382381117265,0.029726357839466644
Bernoulli bridge,4,Vega per vol point,0.005,0.030751988958809484,0.01708216570558463,0.013669823253224855
Bernoulli bridge,4,Vega per vol point,0.01,0.031110948894630397,0.01715752906885548,0.013953419825774915
Conditional weight,4,Delta,0.001,0.9033578517335172,0.9522425621447539,-0.048884710411236654
Conditional weight,4,Gamma,0.001,-0.03939010529681041,-0.009371690172343959,-0.03001841512446645
Conditional weight,4,Delta,0.0025,0.9041007059674442,0.9522568488218823,-0.048156142854438144
Conditional weight,4,Gamma,0.0025,-0.036835298966423125,-0.009372345575741292,-0.027462953390681832
Conditional weight,4,Delta,0.005,0.9073309849584748,0.9523078749804235,-0.04497689002194871
Conditional weight,4,Gamma,0.005,-0.03392403439566394,-0.009374686255810616,-0.024549348139853322
Conditional weight,4,Delta,0.01,0.9169154597739975,0.9525120157151026,-0.03559655594110511
Conditional weight,4,Gamma,0.01,-0.023272202094374528,-0.009384048060720573,-0.013888154033653954
Conditional weight,4,Delta,0.02,0.9359057082355645,0.9533291555456804,-0.017423447310115914
Conditional weight,4,Gamma,0.02,-0.016214169754486307,-0.009421480644813407,-0.0067926891096729
Conditional weight,4,Vega per vol point,0.0025,0.0345235538591222,0.017063382381117265,0.017460171478004938
Conditional weight,4,Vega per vol point,0.005,0.034465182384950666,0.01708216570558463,0.017383016679366037
Conditional weight,4,Vega per vol point,0.01,0.03427731489144881,0.01715752906885548,0.017119785822593325
Direct,5,Delta,0.001,0.87566279401325,0.9522425621447539,-0.07657976813150391
Direct,5,Gamma,0.001,2.0926413715571353,-0.009371690172343959,2.102013061729479
Direct,5,Delta,0.0025,0.9291880822056306,0.9522568488218823,-0.02306876661625168
Direct,5,Gamma,0.0025,0.7638386521846314,-0.009372345575741292,0.7732109977603727
Direct,5,Delta,0.005,0.9023558625716692,0.9523078749804235,-0.04995201240875424
Direct,5,Gamma,0.005,0.21202003012796666,-0.009374686255810616,0.22139471638377728
Direct,5,Delta,0.01,0.9043807507240773,0.9525120157151026,-0.04813126499102527
Direct,5,Gamma,0.01,-0.019303201586847507,-0.009384048060720573,-0.009919153526126934
Direct,5,Delta,0.02,0.8832087495531473,0.9533291555456804,-0.07012040599253311
Direct,5,Gamma,0.02,-0.011083710359588661,-0.009421480644813407,-0.001662229714775254
Direct,5,Vega per vol point,0.0025,0.13433573177738722,0.017063382381117265,0.11727234939626996
