sampling,method,monitoring_steps,sample_size,estimate,runtime_seconds,replication,seed,error_vs_analytic
MC,Bernoulli bridge,12,1024,4.520270976808941,0.002849100041203201,2,20272806,-0.39613861792317806
MC,Conditional weight,12,1024,4.638255158316573,0.002849100041203201,2,20272806,-0.27815443641554616
MC,Direct,12,4096,6.5687123775931955,0.009626799961552024,2,20272806,1.6523027828610761
MC,Bernoulli bridge,12,4096,4.991464172302857,0.009626799961552024,2,20272806,0.07505457757073764
MC,Conditional weight,12,4096,5.0094937139749005,0.009626799961552024,2,20272806,0.09308411924278115
MC,Direct,12,16384,6.59001783264115,0.035334100015461445,2,20272806,1.673608237909031
MC,Bernoulli bridge,12,16384,4.918503913882687,0.035334100015461445,2,20272806,0.0020943191505677916
MC,Conditional weight,12,16384,4.927890655303571,0.035334100015461445,2,20272806,0.011481060571451707
MC,Direct,12,65536,6.617720456561809,0.14157460001297295,2,20272806,1.7013108618296897
MC,Bernoulli bridge,12,65536,4.918057437847151,0.14157460001297295,2,20272806,0.0016478431150313
MC,Conditional weight,12,65536,4.932090344790955,0.14157460001297295,2,20272806,0.015680750058836068
MC,Direct,12,1024,6.589735584296627,0.0019321999279782176,3,20272807,1.6733259895645078
MC,Bernoulli bridge,12,1024,4.680974135017896,0.0019321999279782176,3,20272807,-0.23543545971422297
MC,Conditional weight,12,1024,4.764200973062971,0.0019321999279782176,3,20272807,-0.15220862166914806
MC,Direct,12,4096,6.680708280593453,0.009038200019858778,3,20272807,1.7642986858613332
MC,Bernoulli bridge,12,4096,4.909576764736179,0.009038200019858778,3,20272807,-0.0068328299959405925
MC,Conditional weight,12,4096,4.905151845249854,0.009038200019858778,3,20272807,-0.011257749482265211
MC,Direct,12,16384,6.711187718769907,0.03443280002102256,3,20272807,1.794778124037788
MC,Bernoulli bridge,12,16384,4.986653032681225,0.03443280002102256,3,20272807,0.07024343794910592
MC,Conditional weight,12,16384,4.973896748683871,0.03443280002102256,3,20272807,0.05748715395175186
MC,Direct,12,65536,6.608865060043878,0.13692239997908473,3,20272807,1.6924554653117587
MC,Bernoulli bridge,12,65536,4.875002946317722,0.13692239997908473,3,20272807,-0.04140664841439712
MC,Conditional weight,12,65536,4.8893171406555425,0.13692239997908473,3,20272807,-0.0270924540765769
MC,Direct,24,1024,6.64969778276056,0.00435890001244843,0,20284804,1.7332881880284408
MC,Bernoulli bridge,24,1024,5.30671524898177,0.00435890001244843,0,20284804,0.3903056542496506
MC,Conditional weight,24,1024,5.168677464549427,0.00435890001244843,0,20284804,0.25226786981730775
MC,Direct,24,4096,6.45063991343963,0.01540269993711263,0,20284804,1.534230318707511
MC,Bernoulli bridge,24,4096,5.100921723547371,0.01540269993711263,0,20284804,0.18451212881525159
MC,Conditional weight,24,4096,5.067389652967702,0.01540269993711263,0,20284804,0.15098005823558225
MC,Direct,24,16384,6.149754337156548,0.07026049995329231,0,20284804,1.2333447424244284
MC,Bernoulli bridge,24,16384,4.821468642632186,0.07026049995329231,0,20284804,-0.09494095209993336
MC,Conditional weight,24,16384,4.833816609308246,0.07026049995329231,0,20284804,-0.08259298542387317
MC,Direct,24,65536,6.175643729731772,0.29352629999630153,0,20284804,1.2592341349996525
MC,Bernoulli bridge,24,65536,4.881995961420752,0.29352629999630153,0,20284804,-0.0344136333113676
MC,Conditional weight,24,65536,4.880592010473035,0.29352629999630153,0,20284804,-0.035817584259084434
MC,Direct,24,1024,6.304045588486137,0.004505799966864288,1,20284805,1.3876359937540172
MC,Bernoulli bridge,24,1024,4.962034483514241,0.004505799966864288,1,20284805,0.045624888782121786
MC,Conditional weight,24,1024,5.090926728390855,0.004505799966864288,1,20284805,0.17451713365873545
MC,Direct,24,4096,6.069381490464647,0.017361899954266846,1,20284805,1.1529718957325272
MC,Bernoulli bridge,24,4096,4.655529380257283,0.017361899954266846,1,20284805,-0.26088021447483634
MC,Conditional weight,24,4096,4.7366720655421135,0.017361899954266846,1,20284805,-0.17973752919000585
MC,Direct,24,16384,6.169513716549376,0.07531979994382709,1,20284805,1.2531041218172563
MC,Bernoulli bridge,24,16384,4.7367952851151784,0.07531979994382709,1,20284805,-0.17961430961694091
MC,Conditional weight,24,16384,4.816404115358894,0.07531979994382709,1,20284805,-0.10000547937322501
MC,Direct,24,65536,6.1527925909735455,0.2812089999206364,1,20284805,1.2363829962414261
MC,Bernoulli bridge,24,65536,4.850659712635281,0.2812089999206364,1,20284805,-0.06574988209683852
MC,Conditional weight,24,65536,4.880191002078881,0.2812089999206364,1,20284805,-0.036218592653238346
MC,Direct,24,1024,6.290045593985037,0.0045943999430164695,2,20284806,1.373635999252918
MC,Bernoulli bridge,24,1024,5.1066746471373605,0.0045943999430164695,2,20284806,0.19026505240524116
MC,Conditional weight,24,1024,5.105210780719073,0.0045943999430164695,2,20284806,0.1888011859869536
MC,Direct,24,4096,5.994958410775785,0.020653199986554682,2,20284806,1.078548816043666
MC,Bernoulli bridge,24,4096,4.779256163121204,0.020653199986554682,2,20284806,-0.13715343161091553
MC,Conditional weight,24,4096,4.805484164893745,0.020653199986554682,2,20284806,-0.11092542983837461
MC,Direct,24,16384,6.124896716398828,0.07709159993100911,2,20284806,1.2084871216667086
MC,Bernoulli bridge,24,16384,4.896317896294056,0.07709159993100911,2,20284806,-0.020091698438063688
MC,Conditional weight,24,16384,4.905210670668805,0.07709159993100911,2,20284806,-0.01119892406331413
MC,Direct,24,65536,6.166652377905293,0.29659049992915243,2,20284806,1.2502427831731735
MC,Bernoulli bridge,24,65536,4.904932270479001,0.29659049992915243,2,20284806,-0.01147732425311876
MC,Conditional weight,24,65536,4.915296818331442,0.29659049992915243,2,20284806,-0.0011127764006770846
MC,Direct,24,1024,6.48898710690491,0.00422570004593581,3,20284807,1.5725775121727903
MC,Bernoulli bridge,24,1024,5.199915087929048,0.00422570004593581,3,20284807,0.2835054931969285
MC,Conditional weight,24,1024,5.163308947164252,0.00422570004593581,3,20284807,0.24689935243213235
MC,Direct,24,4096,6.436217848427122,0.016317600035108626,3,20284807,1.519808253695003
MC,Bernoulli bridge,24,4096,5.186733675318397,0.016317600035108626,3,20284807,0.27032408058627766
MC,Conditional weight,24,4096,5.2098251599147165,0.016317600035108626,3,20284807,0.29341556518259715
MC,Direct,24,16384,6.221728368560781,0.06848740007262677,3,20284807,1.3053187738286613
MC,Bernoulli bridge,24,16384,4.954351721417036,0.06848740007262677,3,20284807,0.03794212668491692
MC,Conditional weight,24,16384,4.959717474734925,0.06848740007262677,3,20284807,0.04330788000280528
MC,Direct,24,65536,6.1402215465747645,0.26979790010955185,3,20284807,1.2238119518426451
MC,Bernoulli bridge,24,65536,4.884528869670461,0.26979790010955185,3,20284807,-0.031880725061657955
MC,Conditional weight,24,65536,4.89762446470771,0.26979790010955185,3,20284807,-0.01878513002440929
MC,Direct,52,1024,5.518986997230854,0.009807200054638088,0,20312804,0.6025774024987349
